anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,readingq12,readingq13,readingq14
104,4,5,4,4,5,4,4,5,4,5,4,4,3,4
105,5,5,4,5,5,4,4,5,4,5,4,4,3,4
106,5,5,4,5,5,4,4,5,4,5,4,4,3,4
107,5,5,4,5,5,4,4,5,4,5,4,4,3,4
108,4,5,4,5,5,4,2,5,4,5,4,3,3,4
109,4,5,4,4,5,4,4,5,4,5,4,4,0,4
110,4,5,3,4,5,4,4,5,3,5,0,0,3,3
111,5,5,4,4,5,4,4,5,4,5,4,4,3,4
112,4,5,4,3,5,4,4,5,4,5,4,4,3,4
113,5,5,4,5,5,4,4,5,4,5,4,4,3,4
114,4,5,4,5,5,4,4,5,3,5,0,4,3,4
115,5,5,4,4,4,4,4,5,4,5,4,4,3,4
116,5,5,4,5,5,4,4,5,4,5,4,4,3,4
117,5,5,3,3,5,4,4,5,4,5,4,4,3,4
118,5,5,4,5,5,4,4,5,4,5,4,4,3,4
119,5,5,4,3,5,3,4,5,4,5,4,4,3,4
120,5,0,4,4,3,4,4,0,4,5,2,4,3,1
121,0,5,4,5,5,4,4,5,4,5,4,4,3,4
122,5,5,4,5,5,4,3,5,4,5,4,4,3,4
123,4,5,4,5,4,4,4,5,4,5,4,4,3,4
124,5,5,4,4,5,4,4,5,4,5,4,4,3,3
125,5,5,4,5,5,4,4,5,0,5,4,4,3,4
126,5,5,4,5,5,4,4,5,4,5,4,4,3,4
127,5,5,4,5,5,4,4,5,4,5,4,4,3,4
128,5,5,3,5,5,4,4,5,4,5,3,4,1,4
129,0,5,4,4,5,4,4,5,4,5,4,4,3,4
130,0,5,4,5,5,4,4,5,4,0,4,4,3,4
131,5,5,4,0,5,4,4,5,4,4,4,4,0,4
132,3,5,3,5,5,4,4,5,3,5,4,4,3,4
133,0,5,3,5,5,4,4,5,4,5,4,4,3,4
134,4,5,3,5,4,4,4,5,4,5,4,4,3,4
135,5,5,3,4,5,4,4,5,4,5,4,4,3,4
136,5,5,4,0,5,4,4,5,4,5,4,4,3,4
137,0,5,4,3,5,4,4,5,4,0,4,3,3,4
138,4,5,3,5,5,4,4,5,4,5,4,4,3,4
139,5,5,4,5,5,4,4,5,4,5,4,4,3,4
140,5,5,4,5,0,4,4,5,4,5,4,4,3,4
141,5,5,3,5,0,4,4,5,4,5,4,4,3,4
142,5,5,4,3,5,4,3,5,4,5,4,0,3,4
143,5,5,4,5,5,4,3,5,3,5,3,4,3,4
144,5,5,4,3,5,4,3,4,3,5,0,4,3,4
145,5,5,4,5,5,4,4,5,4,5,4,4,3,4
146,5,5,4,0,5,3,0,5,4,5,4,4,3,4
147,5,5,4,5,5,4,4,5,4,5,3,4,3,4
148,0,5,0,4,5,4,4,5,4,0,4,4,1,4
149,5,5,3,4,4,4,4,5,4,5,4,4,3,4
150,5,5,4,3,5,4,4,5,4,5,0,4,3,4
151,5,5,4,5,5,4,0,5,4,5,4,4,3,4
152,4,5,4,5,5,4,4,5,4,5,4,4,3,4
153,5,5,4,4,5,4,2,5,0,5,4,4,3,4
154,4,5,4,3,5,4,4,5,4,5,4,4,0,0
155,5,5,4,4,5,4,4,5,4,5,4,4,3,4
156,5,5,4,0,4,4,4,5,4,5,4,4,3,4
157,5,5,4,5,5,4,4,5,4,5,4,4,3,4
158,5,5,4,5,5,4,4,5,4,5,4,4,3,3
159,5,5,4,5,5,4,4,0,4,5,4,4,3,4
160,5,5,4,5,5,4,4,5,4,5,4,4,3,4
161,5,5,4,5,5,4,4,5,4,5,4,4,3,4
162,4,5,4,4,5,0,4,5,4,5,4,4,0,4
163,5,5,4,5,5,3,4,0,4,5,4,4,3,4
164,4,5,4,5,5,4,4,4,4,5,0,4,3,4
165,5,5,4,5,5,4,4,5,4,5,4,4,3,4
166,5,5,4,4,5,4,4,5,4,5,4,4,0,4
167,5,5,4,5,3,0,4,5,4,5,4,4,3,4
168,4,5,4,2,5,4,4,5,4,5,4,4,3,4
169,4,5,4,5,5,3,4,5,0,5,3,4,3,4
170,5,5,4,5,5,4,4,5,4,5,4,4,3,4
171,5,5,4,3,5,4,4,5,4,5,4,4,3,4
172,0,5,0,5,5,0,4,5,4,5,4,4,3,4
173,5,5,4,4,5,4,4,5,4,5,4,4,3,4
174,5,5,4,0,0,4,4,5,4,5,0,4,3,4
175,5,5,4,5,5,4,4,5,4,5,4,4,3,4
176,5,5,3,4,5,4,4,5,4,5,4,4,3,4
177,4,5,4,5,5,4,4,5,4,5,4,3,3,4
178,5,5,4,5,5,4,4,5,0,5,4,4,3,4
179,5,5,4,5,5,4,4,5,4,5,4,4,3,4
180,5,5,4,5,5,4,4,5,4,5,3,4,3,4
