anid,remote,a0w1,a1w2,a2w3,a3w4,a4w5,a5w6,a6w7,a7w8,a8w10
117,#9DB35B75,1,1,0.8,1,0.975,0.975,0.965,0.9,0.975
116,#9B861E03,1,0.9,0.952380952,0.954545455,0.975,0.825,1,0.95,1
111,#8D874E44,1,0.95,1,1,0.9,0.925,1,0.925,0.965
110,#9EE0B3CD,1,1,0.952380952,0.954545455,0.7,0.95,0.975,0.85,0.975
113,#9809FB6A,1,0.95,0.880952381,0.954545455,1,0.975,1,0.95,0.965
112,#9DD8B5F0,1,0.95,0.966666667,0.954545455,0.975,1,0.925,0.8,0.925
119,#9A895B48,1,1,0.952380952,0.954545455,0.95,0.9,0.975,0.775,0.96
118,#96BC456F,1,0.95,1,0.954545455,0.9,1,1,0.825,1
308,#88E83252,1,1,1,0.909090909,0.975,1,0.99,0.9,0.865
309,#963E08A0,1,0.95,0.952380952,0.863636364,1,0.65,0.89,0.775,0.95
300,#98309A32,1,1,0.976190476,0.954545455,0.775,0.95,1,0.95,1
301,#97C8B5EA,1,0.95,0.976190476,0.863636364,0.825,0.975,0.95,0.95,0.9
302,#8FB7E3DB,1,1,0.952380952,0.909090909,0.9,0.95,0.975,0.825,1
303,#8527C567,1,0.95,1,0.863636364,0.75,0.975,0.965,0.8,0.99
304,#9D78DA3F,1,1,0.928571429,0.863636364,0.7,0.65,0.865,0.7,0.84
305,#9B5D27E1,1,1,1,1,0.975,0.8,0.94,0.975,0.89
306,#9ABB83A2,1,0.95,0.904761905,1,0.975,1,1,0.575,0.99
307,#95F9234F,1,0.8,0.880952381,0.863636364,0.95,1,1,1,0.975
229,#9DDB6C2A,1,1,1,1,0.875,0.85,0.9,0.95,0.965
228,#97C4FFAC,1,0.95,0.895238095,1,0.85,0.975,0.9,0.825,0.915
227,#96D41153,1,1,1,1,0.825,0.8,1,0.975,0.79
226,#9B411AC0,1,1,0.928571429,0.954545455,0.775,1,0.95,0.875,0.85
225,#88596EBF,1,0.95,1,0.863636364,0.975,0.9,0.915,0.9,1
224,#96ACF0CA,1,0.9,1,0.954545455,0.6,0.875,1,0.95,1
223,"['#919CDED3', '#8F301FA0']",1,0.95,1,1,0.775,0.975,1,0.925,1
222,#9B445B84,1,0.95,0.952380952,1,0.9,0.8,1,0.9,0.99
221,#961F9118,1,1,0.952380952,0.954545455,0.975,0.9,0.925,0.9,0
220,#9DAFF7C5,1,0.9,1,0.909090909,0.975,0.9,1,0.975,1
151,#9DD9CE8A,1,1,0.976190476,0.954545455,0.95,0.925,0.975,0.9,0.95
150,#9B5AFE3F,1,0.95,0.895238095,1,0.825,0.925,0.9,0.825,0.915
153,#9B9E696C,0.9,0.95,0.776190476,0.954545455,0.975,0.875,0.875,0.9,0.95
152,#96F51C7F,1,1,0.928571429,1,0.95,0.9,0.85,0.9,1
155,#9A273D80,1,1,1,0.954545455,0.85,0.675,0.975,0.95,0.865
154,#9A55F639,1,0.95,0.976190476,1,0.95,0.85,1,0.95,0.975
157,#9ABB2001,1,1,0.80952381,0.863636364,0.975,1,0.975,0.95,0.89
156,#9684EFFD,1,0.95,0.80952381,1,0.975,0.85,1,0.95,1
159,#9D9F494B,1,0.9,0.942857143,0.954545455,0.9,0.9,0.975,0.95,0.99
158,#9221A310,1,1,0.952380952,0.909090909,0.95,1,0.95,0.825,0.875
48,#9D687A8F,1,1,0.952380952,1,0.9,0.95,1,0.9,0.875
49,#8FC5460C,1,1,0.928571429,1,1,1,0.875,0.925,0.99
46,#9168C43D,1,1,0.885714286,0.954545455,1,1,1,0.9,1
47,#91535193,1,1,0.980952381,1,0.95,0.7,1,0.975,0.94
44,#9D9A3C3B,1,1,1,0.954545455,1,1,0.965,0.875,1
45,#9B60C13A,1,0.9,0.857142857,1,0.925,1,0.95,0.85,0.965
42,#96BA6B47,1,0.95,0.976190476,1,1,1,0.975,1,1
43,#97506DAA,1,0.65,0.928571429,0.909090909,0.85,1,1,0.975,1
40,#85E0BCD9,1,1,0.952380952,0.954545455,0.9,0.975,0.965,0.95,1
41,#9B96B8B5,1,1,1,1,0.975,0.875,0.875,0.9,0.95
5,#9D9FBFBD,1,1,0.952380952,1,0.975,1,1,0.975,0.965
