anid,remote,midterm1,midterm2
0,#9A75E609,32,24
1,#9D605AA7,32,24
2,#90CBB6ED,32,24
3,#982D0EBB,32,24
4,#9D9F2220,32,24
5,#9D9FBFBD,32,22
6,#8E82D7DB,32,24
7,#982F3C8B,32,24
8,#9DA2C6F9,32,24
9,#9AACE0D6,31.5,24
10,#82E25F3F,31,24
11,#9B4419C6,32,23.5
12,#9D9F4745,31,22
13,#9D958D85,32,24
14,#97381EB1,32,22.5
15,#95475082,32,23.5
16,#9ABECFEB,31.5,23.5
17,#843274C2,31,24
18,#9D533AF4,32,23.5
19,#839D1E00,32,23.5
20,#9DA16F53,31,23.5
21,#8A981200,31,24
22,#916CC835,29.5,23.5
23,#9E90C4CA,31,20.5
24,#9B5113D9,32,22
25,#8FCC0A49,29.5,24
26,#9D50A568,30.5,24
27,#96896F70,28,24
28,#8FD83B6C,32,24
29,#9B6BF101,31,22
30,#8E129905,30,24
31,#9D7C8968,31,24
32,#9DA84A7F,31.5,22
33,#97DE054C,31.5,24
34,#915D8B47,31.5,22.5
35,#9D9D6464,30,24
36,#84CDECA5,32,23.5
37,#9746DD0C,32,21.5
38,#96876978,32,22.5
39,#976101F7,31.5,23
40,#85E0BCD9,31,21.5
41,#9B96B8B5,31,23
42,#96BA6B47,28.5,24
43,#97506DAA,32,24
44,#9D9A3C3B,32,23.5
45,#9B60C13A,32,24
46,#9168C43D,30,21.5
47,#91535193,30,24
48,#9D687A8F,31,22.5
49,#8FC5460C,31,22
50,#96A37045,31.5,23.5
51,#9D4F72A0,29.5,24
52,#097A81F2,32,23
53,#8A061498,30.5,23.5
54,#9B71B359,32,22.5
55,#983CC86C,29.5,23
56,#9D726A85,32,24
57,#9742E732,32,24
58,#8954B36E,31.5,24
59,#9D6742B8,28.5,23.5
60,#982FBC0B,30,21
61,#9AD7CE83,30,22.5
62,#9D972D27,32,21.5
63,#821FFC61,29,23.5
64,#9D3C2081,32,21.5
65,#9D9DB8B8,29,20
66,#8E0656DE,30,24
67,#9B8C1D0A,30.5,24
68,#9D729B74,30,19.5
69,#84229B3D,30.5,19
70,#897F4DBB,30.5,20.5
71,#9D5332FC,32,23.5
72,#8319E17B,30.5,22.5
73,#916AAF54,32,23.5
74,#9971B159,30.5,22.5
75,#8ECECD8D,30,22
76,#9D8BC7D1,28.5,19.5
77,#9D95A3AB,28,23.5
78,#9DB7F2D8,29,21.5
79,#9697E9E8,31,20
80,#8B1161FB,32,20
81,#974962BC,32,24
82,#9E00A43A,26,22
83,#9B428059,29,24
84,#967E749C,28,23.5
85,#9B3E8B2E,26,22
86,#82248A2C,30,21.5
87,#9A1B6BEA,27.5,22.5
88,#1F71600E,31,21.5
89,"['#91A4A792', '#982F9027']",30,23
90,#9ACD5C0B,31.5,23.5
91,#9B7B2ACA,26,21.5
92,#98313F96,31,20
93,#88802A22,31,21
94,#9D9DB9B9,31.5,23
95,#9DE9D8AC,28.5,24
96,#9EAC497B,28.5,24
97,#96C9DE81,32,23.5
98,#9A80647E,20.5,23.5
99,#982BA112,26,22
100,#9A2971C2,32,20
101,#9A35B11E,30.5,20.5
102,#0199DD45,25,22
103,#9B525990,31,23.5
104,#8FC789C1,30.5,22
105,#9B98E6E5,27,22
106,#96D9EFA0,30,20
107,#855862BF,31.5,22
108,#982E14A2,32,20
109,#959EC1CA,30.5,21
110,#9EE0B3CD,32,23
111,#8D874E44,30.5,20.5
112,#9DD8B5F0,31.5,19.5
113,#9809FB6A,32,23.5
114,#82F23545,32,18.5
115,#9A6D4CBB,30,22
116,#9B861E03,26.5,24
117,#9DB35B75,30.5,21
118,#96BC456F,29,22
119,#9A895B48,29,23.5
120,#9D35963E,31,19.5
121,#8A3045FF,28,20.5
122,#9A4429F7,28,22
123,#9DD1A6EA,28,22.5
124,#9DB2755A,28,23
125,#8550A570,32,23.5
126,#8A5C598F,31.5,16.5
127,#9DE9582C,23.5,22
128,#9D625EA1,31.5,17.5
129,#8E3E6EDE,32,21.5
130,#8DF3453B,30,23.5
131,#97C96836,30.5,21
132,#9991C8C0,31.5,22
133,#9DD98DC9,27.5,21
134,#9D9E6063,28,23
135,#9A917972,29.5,23
136,#9D52EF20,24,21
137,#9A9AACAC,27,19
138,#82DF3469,30.5,19.5
139,#913BC66C,31.5,16
140,#9DADFCCC,30,22
141,#9D99CACE,31,20
142,#9DA52810,25,22
143,#9B42449D,28,19.5
144,#8EE43E54,30.5,21.5
145,#84ABB09F,26.5,24
146,#853363D5,27.5,21
147,#9EC97225,31,23
148,#9F3C41E2,28.5,23.5
149,#1F873FA7,26.5,19.5
150,#9B5AFE3F,30,21
151,#9DD9CE8A,27,21.5
152,#96F51C7F,31,19.5
153,#9B9E696C,32,21
154,#9A55F639,29.5,20.5
155,#9A273D80,30.5,18.5
156,#9684EFFD,27,20
157,#9ABB2001,30.5,21
158,#9221A310,29,19
159,#9D9F494B,28,23
160,#9B7207EE,26.5,17
161,#973875DA,30.5,19.5
162,#9D86E2F9,28,21.5
163,#910E9B04,32,21
