anid,readingq1,readingq2,readingq3,readingq4,readingq5
257,100,100,100,NA,40
258,NA,100,75,NA,100
259,100,100,100,100,100
260,100,NA,100,100,100
261,80,100,100,100,100
262,100,100,100,100,100
263,NA,NA,NA,75,100
264,100,NA,100,100,100
265,100,100,100,NA,100
266,100,100,100,100,100
267,100,NA,75,100,100
268,100,100,100,25,100
269,100,NA,100,100,80
270,100,80,75,100,100
271,100,NA,100,75,NA
272,100,100,NA,100,100
273,100,100,75,100,100
274,100,100,100,100,100
275,100,100,100,100,100
276,100,100,100,100,NA
277,100,100,75,100,100
278,100,100,100,100,100
279,100,100,100,75,100
280,100,100,100,100,100
281,100,100,100,100,100
282,100,100,100,100,100
283,100,100,100,NA,80
284,100,100,50,75,80
285,100,100,100,100,100
286,80,100,50,100,60
287,100,100,75,100,80
288,100,100,100,100,100
289,100,100,50,100,100
290,100,100,75,100,100
291,100,100,100,100,100
292,100,100,100,100,100
293,NA,100,50,75,100
294,100,40,100,100,60
295,80,100,100,100,100
296,100,100,75,100,80
297,100,100,50,100,100
298,100,100,100,75,80
299,100,80,100,50,80
300,100,100,100,100,100
301,100,100,100,100,100
302,80,100,100,100,100
303,100,100,100,100,100
304,100,100,100,100,100
305,100,100,100,100,100
306,100,NA,100,75,80
307,100,100,100,100,100
308,100,100,100,NA,100
309,100,100,100,100,100
310,100,100,100,75,100
311,100,100,100,100,100
312,100,100,100,100,100
313,100,100,50,75,100
314,80,100,100,100,100
315,NA,100,100,100,100
316,100,100,100,100,100
317,NA,NA,100,75,100
318,100,100,100,100,100
319,100,100,100,100,100
320,100,100,100,100,100
321,100,100,100,100,100
322,100,80,75,100,100
323,100,NA,75,100,80
324,100,100,100,100,100
325,100,100,100,100,100
326,100,NA,100,100,100
327,100,100,100,100,100
328,100,100,100,100,100
329,100,100,100,100,100
330,100,100,NA,50,80
331,100,100,100,100,100
332,100,100,100,75,100
333,100,100,100,100,100
334,100,100,100,100,100
335,100,100,75,50,100
336,80,NA,100,75,60
337,100,100,100,100,100
338,100,NA,100,100,80
339,100,100,100,NA,100
340,80,NA,75,100,100
341,100,100,100,75,NA
342,100,100,50,100,100
343,100,NA,75,100,100
344,100,100,100,100,100
345,100,100,100,100,100
346,100,100,100,100,100
347,100,100,75,100,100
348,NA,100,100,75,100
349,100,100,100,NA,100
350,NA,NA,100,100,100
351,100,100,100,100,100
352,60,100,NA,100,100
353,100,100,75,75,80
354,100,100,100,100,100
355,NA,100,100,75,100
356,100,NA,100,NA,100
357,100,100,100,100,100
358,100,100,100,NA,100
359,100,NA,75,100,100
360,NA,100,75,NA,60
361,100,100,100,100,80
362,100,100,100,100,100
363,100,100,100,75,100
364,100,100,100,75,100
365,80,100,100,100,60
366,100,NA,75,100,100
367,100,80,100,75,100
368,100,100,100,100,100
369,100,100,100,75,80
370,NA,100,100,100,100
371,100,100,75,100,100
372,100,100,100,75,80
373,100,NA,75,100,100
374,100,100,100,25,60
375,100,100,100,100,100
376,100,80,100,75,80
377,100,100,50,100,100
378,100,100,100,100,100
