anid,cse11,cse8b,cse15l
0,#N/A,C  ,B  
1,B  ,#N/A,#N/A
2,B+ ,#N/A,C  
3,#N/A,C  ,#N/A
4,#N/A,B  ,C+ 
5,#N/A,C+ ,B  
6,#N/A,C  ,#N/A
7,B- ,C- ,C  
8,#N/A,B  ,W  
9,C  ,#N/A,B- 
10,#N/A,B  ,B- 
11,#N/A,A- ,C  
12,#N/A,B+ ,B+ 
13,#N/A,C+ ,B  
14,#N/A,B  ,#N/A
15,C  ,#N/A,B  
16,#N/A,B  ,B- 
17,#N/A,B+ ,W  
18,#N/A,B  ,B+ 
19,#N/A,B  ,#N/A
20,#N/A,C+ ,#N/A
21,#N/A,C  ,B  
22,B- ,#N/A,#N/A
23,#N/A,P  ,#N/A
24,#N/A,B- ,C+ 
25,B- ,#N/A,C+ 
26,#N/A,C+ ,B- 
27,#N/A,B  ,B  
28,#N/A,A- ,W  
29,A- ,#N/A,B+ 
30,B  ,#N/A,C+ 
31,#N/A,C  ,C  
32,#N/A,C- ,C+ 
33,#N/A,B+ ,B  
34,#N/A,B  ,#N/A
35,#N/A,A- ,W  
36,B+ ,#N/A,#N/A
37,#N/A,B+ ,B  
38,#N/A,B- ,B  
39,A  ,#N/A,#N/A
40,#N/A,A- ,#N/A
41,#N/A,C+ ,B+ 
42,A- ,#N/A,B+ 
43,#N/A,B- ,C+ 
44,#N/A,B+ ,A  
45,#N/A,B  ,#N/A
46,#N/A,B  ,B+ 
47,#N/A,A- ,A- 
48,#N/A,B  ,#N/A
49,#N/A,B+ ,A- 
50,B  ,#N/A,#N/A
51,#N/A,A+ ,#N/A
52,#N/A,A  ,B  
53,#N/A,B  ,B+ 
54,#N/A,B- ,B+ 
55,#N/A,B+ ,B  
56,A  ,#N/A,B+ 
57,#N/A,B  ,B+ 
58,A  ,#N/A,#N/A
59,#N/A,B- ,B- 
60,C  ,#N/A,C  
61,#N/A,A  ,A  
62,#N/A,B+ ,B+ 
63,#N/A,C+ ,B- 
64,#N/A,B+ ,A- 
65,#N/A,B- ,#N/A
66,#N/A,A- ,A- 
67,A  ,#N/A,B+ 
68,#N/A,B  ,C+ 
69,#N/A,B  ,B- 
70,#N/A,B+ ,B  
71,#N/A,B- ,A- 
72,#N/A,B  ,#N/A
73,#N/A,C+ ,#N/A
74,#N/A,B  ,B  
75,#N/A,B- ,A- 
76,#N/A,A- ,A- 
77,A- ,#N/A,A  
78,#N/A,A- ,#N/A
79,B  ,#N/A,C+ 
80,A  ,#N/A,A  
81,A  ,#N/A,B+ 
82,A  ,#N/A,A- 
83,#N/A,B  ,B+ 
84,#N/A,A- ,B  
85,A  ,#N/A,#N/A
86,A  ,#N/A,#N/A
87,#N/A,B  ,B  
88,#N/A,A- ,A- 
89,#N/A,B  ,C+ 
90,A  ,#N/A,A- 
91,#N/A,B+ ,B+ 
92,A  ,#N/A,A- 
93,#N/A,A  ,B  
94,A  ,#N/A,#N/A
95,#N/A,B  ,B  
96,#N/A,A  ,A- 
97,A  ,#N/A,A  
98,#N/A,B+ ,B- 
99,B+ ,#N/A,B+ 
100,#N/A,B  ,B+ 
101,#N/A,C+ ,#N/A
102,#N/A,A- ,#N/A
103,B+ ,#N/A,#N/A
104,#N/A,A  ,A- 
105,#N/A,A- ,B+ 
106,A- ,#N/A,B+ 
107,A  ,#N/A,A  
108,A  ,#N/A,A- 
109,#N/A,#N/A,#N/A
110,#N/A,B+ ,B  
111,#N/A,#N/A,#N/A
112,#N/A,A- ,#N/A
113,B+ ,#N/A,B  
114,#N/A,A  ,A- 
115,#N/A,B- ,B+ 
116,#N/A,A- ,A  
117,#N/A,A  ,A- 
118,A  ,#N/A,#N/A
119,#N/A,A  ,#N/A
120,A  ,#N/A,A  
121,#N/A,B- ,#N/A
122,#N/A,A  ,A- 
123,B+ ,#N/A,A- 
124,#N/A,B+ ,A- 
125,#N/A,C+ ,C  
126,A  ,#N/A,#N/A
127,A  ,#N/A,#N/A
128,A  ,#N/A,#N/A
129,#N/A,A+ ,A+ 
130,#N/A,A  ,B+ 
131,A  ,#N/A,#N/A
132,A- ,#N/A,A  
133,#N/A,A- ,B+ 
134,#N/A,B+ ,A- 
135,A- ,#N/A,B+ 
136,#N/A,A+ ,A  
137,#N/A,A  ,A- 
138,#N/A,A  ,A  
139,A+ ,#N/A,A  
140,#N/A,A+ ,A+ 
141,#N/A,A  ,A  
142,A  ,#N/A,A  
143,A+ ,#N/A,A  
144,#N/A,A+ ,A  
145,#N/A,A- ,A  
146,#N/A,A- ,A+ 
147,A  ,#N/A,A+ 
148,A  ,#N/A,A- 
149,A  ,#N/A,#N/A
150,#N/A,A  ,A  
151,#N/A,A+ ,A  
152,#N/A,A- ,#N/A
153,A- ,#N/A,#N/A
154,A+ ,#N/A,#N/A
155,A  ,#N/A,#N/A
156,B+ ,#N/A,#N/A
157,B+ ,#N/A,#N/A
158,B- ,#N/A,B+ 
159,W  ,A- ,#N/A
160,A  ,#N/A,A  
161,#N/A,B  ,#N/A
162,#N/A,B- ,#N/A
163,#N/A,A- ,#N/A
164,#N/A,B  ,C+ 
165,#N/A,C+ ,B  
166,A- ,#N/A,B  
167,#N/A,B+ ,B  
168,A- ,#N/A,#N/A
