pid,anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,avg_week1,avg_week2,avg_week3,avg_week4
A11173713,101,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11882737,102,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11622046,103,0.75,1,1,1,0,1,1,0,1.000000000,1.000000000,1.000000000,0.875,0.666666667,1,0.5
A10026795,104,1,0.8,0,1,1,0,1,1,0.666666667,1.000000000,1.000000000,0.9,0.666666667,0,1
A11419462,105,1,1,1,0.75,1,1,1,1,1.000000000,1.000000000,1.000000000,1,0.916666667,1,1
A11550617,106,0.75,1,0,1,1,0,1,1,1.000000000,1.000000000,1.000000000,0.875,0.666666667,0,1
A99407426,107,1,0.8,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,0.9,1,1,1
A11687702,108,1,1,1,1,1,1,0,1,1.000000000,1.000000000,1.000000000,1,1,1,0.5
A97055139,109,1,1,1,1,1,1,1,0,1.000000000,1.000000000,1.000000000,1,1,1,0.5
A10624264,110,1,0.8,1,1,1,1,1,1,0.000000000,0.000000000,1.000000000,0.9,1,1,1
A10682893,111,1,0,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,0.5,1,1,1
A11324656,112,1,1,1,1,1,0,1,1,1.000000000,1.000000000,1.000000000,1,1,0,1
A99132038,113,1,1,0,1,1,0,1,1,1.000000000,0.000000000,1.000000000,1,0.666666667,0,1
A10889904,114,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A53071897,115,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10742893,116,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A98072868,117,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11755871,118,1,1,1,1,1,0,1,1,0.666666667,1.000000000,1.000000000,1,1,0,1
A09946492,119,1,0.8,1,1,1,0,1,1,0.000000000,1.000000000,1.000000000,0.9,1,0,1
A10791326,120,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10914863,121,0.75,1,1,1,1,0,1,1,1.000000000,1.000000000,1.000000000,0.875,1,0,1
A11715782,122,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11613494,123,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10776158,124,0.75,1,1,0,1,1,1,1,1.000000000,0.000000000,1.000000000,0.875,0.666666667,1,1
A99114477,125,1,0.8,1,0,1,1,1,0,0.000000000,0.000000000,1.000000000,0.9,0.666666667,1,0.5
A11902093,126,0,0,0.666666667,1,1,0,1,1,1.000000000,0.000000000,1.000000000,0,0.888888889,0,1
A11302948,127,1,0.8,1,1,1,0.75,1,1,1.000000000,1.000000000,1.000000000,0.9,1,0.75,1
A11681899,128,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11028414,129,1,0.8,1,1,1,1,1,0,1.000000000,1.000000000,1.000000000,0.9,1,1,0.5
A11264813,130,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10662860,131,1,0.8,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,0.9,1,1,1
A11515421,132,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11323601,133,1,0.8,1,0.75,1,0.75,1,1,1.000000000,1.000000000,1.000000000,0.9,0.916666667,0.75,1
A11003595,134,0,1,0,1,0.666666667,0,0.666666667,1,1.000000000,1.000000000,1.000000000,0.5,0.555555556,0,0.833333334
A11558343,135,0,1,1,1,0,0,1,1,1.000000000,1.000000000,0.000000000,0.5,0.666666667,0,1
A09636792,136,1,1,1,1,1,0,1,0,1.000000000,1.000000000,1.000000000,1,1,0,0.5
A10899207,137,0.5,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,0.75,1,1,1
A98075919,138,0.5,1,1,1,1,0.75,1,1,1.000000000,1.000000000,1.000000000,0.75,1,0.75,1
A09218414,139,0.5,0.8,1,0.75,1,0.5,1,1,1.000000000,1.000000000,1.000000000,0.65,0.916666667,0.5,1
A11514143,140,0.5,1,0,0.75,0.666666667,0,1,1,1.000000000,1.000000000,1.000000000,0.75,0.472222222,0,1
A10816812,141,1,1,1,0.25,1,1,1,1,1.000000000,1.000000000,1.000000000,1,0.75,1,1
A97056506,142,1,1,1,1,0,1,1,1,1.000000000,0.000000000,1.000000000,1,0.666666667,1,1
A11069371,143,1,0.6,1,0.75,1,0.75,0,0,0.000000000,0.000000000,0.000000000,0.8,0.916666667,0.75,0
A10187618,144,1,1,1,0.75,1,1,1,1,1.000000000,1.000000000,1.000000000,1,0.916666667,1,1
A09520788,145,1,1,1,1,0,1,1,1,1.000000000,1.000000000,1.000000000,1,0.666666667,1,1
A98026366,146,1,1,1,1,1,0.75,1,1,1.000000000,1.000000000,0.000000000,1,1,0.75,1
A97046777,147,1,1,1,1,0.666666667,1,1,0,1.000000000,1.000000000,1.000000000,1,0.888888889,1,0.5
A09139596,148,1,1,1,1,1,1,0.666666667,1,1.000000000,1.000000000,1.000000000,1,1,1,0.833333334
A10948224,149,0.75,1,1,1,1,1,0.666666667,1,1.000000000,1.000000000,1.000000000,0.875,1,1,0.833333334
A11344666,150,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10932226,151,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11549100,152,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A99113372,153,0,1,1,1,0.666666667,1,1,1,1.000000000,1.000000000,1.000000000,0.5,0.888888889,1,1
A10713613,154,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11141827,155,0,0,0.333333333,0.75,0.666666667,0,1,0.666666667,1.000000000,1.000000000,1.000000000,0,0.583333333,0,0.833333334
A91501542,156,1,1,1,1,1,1,1,1,1.000000000,0.000000000,1.000000000,1,1,1,1
A11563077,157,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11409386,158,0.75,0.6,1,1,1,0,0.666666667,1,1.000000000,1.000000000,1.000000000,0.675,1,0,0.833333334
A10902176,159,1,1,1,1,0.666666667,1,0.666666667,1,1.000000000,0.666666667,1.000000000,1,0.888888889,1,0.833333334
A11239415,160,1,1,1,1,1,1,0,1,1.000000000,1.000000000,1.000000000,1,1,1,0.5
A10631470,161,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A09981500,162,0.5,1,1,0.75,1,0,1,1,1.000000000,1.000000000,1.000000000,0.75,0.916666667,0,1
A11319022,163,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10938989,164,1,0.8,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,0.9,1,1,1
A10883418,165,0,0.4,0.666666667,0.75,0.666666667,0.25,0,0,0.000000000,1.000000000,0.000000000,0.2,0.694444445,0.25,0
A10662502,166,1,0.6,1,0.75,1,0.5,1,1,1.000000000,1.000000000,1.000000000,0.8,0.916666667,0.5,1
