anid,cse5a,cse12,cse21,cse30,cse15l,math154,math184a,mae9,ece15
43,#N/A,A  ,A  ,A  ,A  ,B+ ,#N/A,#N/A,A  
44,#N/A,A  ,B- ,#N/A,A- ,#N/A,#N/A,#N/A,B+ 
45,#N/A,B  ,B  ,B+ ,A- ,#N/A,#N/A,#N/A,#N/A
46,#N/A,C  ,C- ,C- ,B  ,B  ,B- ,#N/A,#N/A
47,#N/A,B+ ,B+ ,A  ,B+ ,#N/A,#N/A,#N/A,B+ 
48,#N/A,A  ,A  ,B  ,A  ,#N/A,#N/A,#N/A,B+ 
49,#N/A,B  ,A  ,#N/A,B+ ,#N/A,#N/A,#N/A,A+ 
50,#N/A,B  ,A- ,A- ,B+ ,#N/A,#N/A,#N/A,#N/A
51,#N/A,B  ,A+ ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
52,#N/A,#N/A,B+ ,#N/A,B+ ,#N/A,#N/A,#N/A,#N/A
53,B  ,B  ,B+ ,A  ,A  ,#N/A,#N/A,A  ,#N/A
54,#N/A,C+ ,A  ,D  ,B  ,#N/A,#N/A,#N/A,B- 
55,#N/A,A- ,A  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56,#N/A,C  ,B+ ,C  ,B  ,#N/A,#N/A,#N/A,#N/A
57,#N/A,B  ,B+ ,C  ,B+ ,#N/A,#N/A,#N/A,#N/A
58,C+ ,C  ,B  ,B  ,B+ ,#N/A,#N/A,#N/A,#N/A
59,#N/A,A  ,A+ ,#N/A,S  ,#N/A,#N/A,#N/A,#N/A
60,#N/A,C+ ,A- ,B- ,A  ,#N/A,#N/A,#N/A,#N/A
61,A  ,A- ,A  ,B+ ,A  ,#N/A,#N/A,#N/A,#N/A
62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
63,#N/A,C- ,C- ,C  ,C  ,#N/A,#N/A,#N/A,#N/A
64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
66,#N/A,#N/A,A  ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
67,#N/A,B  ,B  ,#N/A,B+ ,#N/A,#N/A,#N/A,A- 
68,#N/A,A+ ,A+ ,#N/A,#N/A,#N/A,#N/A,#N/A,A  
69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
70,#N/A,B- ,A- ,B- ,B  ,#N/A,#N/A,#N/A,#N/A
71,#N/A,A- ,A- ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
72,#N/A,B  ,B+ ,A- ,B  ,#N/A,#N/A,#N/A,#N/A
73,#N/A,C  ,B+ ,B- ,C  ,#N/A,#N/A,#N/A,#N/A
74,#N/A,A  ,A+ ,B  ,A  ,#N/A,#N/A,#N/A,#N/A
75,#N/A,A  ,A  ,B+ ,A- ,#N/A,#N/A,A  ,#N/A
76,#N/A,A- ,A  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
77,#N/A,A  ,A  ,C+ ,A  ,#N/A,#N/A,#N/A,#N/A
78,#N/A,B  ,A  ,#N/A,#N/A,#N/A,#N/A,#N/A,C+ 
79,#N/A,A  ,A- ,A- ,A  ,#N/A,#N/A,#N/A,#N/A
80,#N/A,A  ,B- ,B  ,A  ,#N/A,#N/A,#N/A,#N/A
81,#N/A,A  ,A+ ,A+ ,A  ,#N/A,#N/A,#N/A,#N/A
82,#N/A,C- ,C+ ,D  ,B  ,#N/A,#N/A,#N/A,#N/A
83,#N/A,A  ,A+ ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
84,#N/A,B  ,B+ ,C- ,B  ,#N/A,#N/A,#N/A,#N/A
85,#N/A,A- ,A- ,B  ,B+ ,#N/A,#N/A,#N/A,#N/A
86,#N/A,C- ,C- ,#N/A,C  ,#N/A,#N/A,#N/A,#N/A
87,#N/A,B  ,A  ,B  ,B  ,#N/A,#N/A,#N/A,#N/A
88,#N/A,C  ,C+ ,W  ,B  ,#N/A,#N/A,#N/A,#N/A
89,A  ,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
90,#N/A,A  ,B+ ,C+ ,A  ,#N/A,#N/A,#N/A,#N/A
91,#N/A,B  ,A  ,B+ ,A  ,#N/A,#N/A,#N/A,#N/A
92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
94,#N/A,B+ ,A- ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
95,#N/A,A  ,A+ ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
96,#N/A,C  ,B  ,B+ ,B  ,#N/A,#N/A,#N/A,#N/A
97,#N/A,A  ,B  ,C- ,A  ,#N/A,#N/A,#N/A,#N/A
98,#N/A,C+ ,A  ,A  ,B+ ,#N/A,#N/A,#N/A,#N/A
99,#N/A,#N/A,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
100,#N/A,A  ,A+ ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
101,#N/A,A  ,A+ ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
102,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
103,#N/A,B  ,B+ ,B+ ,B  ,#N/A,#N/A,#N/A,#N/A
104,#N/A,A  ,A  ,A- ,A  ,#N/A,#N/A,#N/A,#N/A
105,#N/A,B  ,A- ,B- ,A  ,#N/A,#N/A,#N/A,#N/A
106,#N/A,C  ,B  ,B  ,B  ,#N/A,#N/A,#N/A,#N/A
107,#N/A,C  ,C- ,D  ,B+ ,#N/A,#N/A,#N/A,#N/A
108,#N/A,B- ,B  ,B  ,A  ,#N/A,#N/A,#N/A,#N/A
109,#N/A,#N/A,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
110,A  ,A  ,A+ ,A+ ,A+ ,#N/A,#N/A,#N/A,#N/A
111,#N/A,B+ ,A- ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
112,#N/A,B  ,B+ ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
113,#N/A,C  ,B  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
114,#N/A,A  ,B  ,#N/A,P  ,#N/A,#N/A,#N/A,#N/A
115,#N/A,B+ ,A- ,A  ,B+ ,#N/A,#N/A,#N/A,#N/A
116,#N/A,A  ,A- ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
117,#N/A,A- ,A- ,C- ,A  ,#N/A,#N/A,#N/A,#N/A
118,#N/A,C+ ,B  ,A- ,C  ,#N/A,#N/A,#N/A,#N/A
119,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
120,#N/A,C  ,B- ,D  ,B  ,#N/A,#N/A,#N/A,#N/A
121,#N/A,A  ,A  ,A  ,B+ ,#N/A,#N/A,#N/A,#N/A
122,#N/A,A  ,A  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
123,#N/A,B+ ,A  ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
124,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
125,#N/A,B  ,A  ,#N/A,B  ,#N/A,#N/A,#N/A,A  
126,#N/A,A  ,A  ,B+ ,A  ,#N/A,#N/A,#N/A,#N/A
127,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
128,A  ,C  ,C  ,B+ ,C  ,#N/A,#N/A,#N/A,C- 
129,#N/A,B+ ,B- ,C- ,B+ ,#N/A,#N/A,#N/A,#N/A
130,#N/A,A  ,A  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
131,#N/A,C- ,B+ ,D  ,A- ,#N/A,#N/A,#N/A,#N/A
132,#N/A,C  ,A- ,B+ ,B  ,#N/A,#N/A,#N/A,#N/A
133,#N/A,B  ,B+ ,B  ,B  ,#N/A,#N/A,#N/A,#N/A
134,C+ ,C+ ,B- ,B- ,C  ,#N/A,#N/A,#N/A,#N/A
135,#N/A,A  ,A+ ,B+ ,A  ,#N/A,#N/A,#N/A,#N/A
136,A  ,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
137,#N/A,B  ,B+ ,B  ,B+ ,#N/A,#N/A,#N/A,#N/A
138,#N/A,A  ,A- ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
139,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
140,#N/A,A- ,A  ,F  ,A  ,#N/A,NP ,#N/A,#N/A
141,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
142,#N/A,B  ,A- ,B- ,A- ,#N/A,#N/A,#N/A,#N/A
143,#N/A,B  ,A  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
144,#N/A,A  ,A+ ,A+ ,A  ,#N/A,#N/A,#N/A,#N/A
145,#N/A,C  ,B  ,#N/A,B- ,#N/A,#N/A,#N/A,#N/A
146,#N/A,B- ,B+ ,B  ,A- ,#N/A,#N/A,#N/A,#N/A
147,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
148,#N/A,B+ ,A  ,A- ,B+ ,#N/A,#N/A,#N/A,#N/A
149,#N/A,B  ,A- ,A- ,B  ,#N/A,#N/A,#N/A,#N/A
150,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
151,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
152,#N/A,A  ,A- ,A- ,A  ,#N/A,#N/A,#N/A,#N/A
153,#N/A,C  ,B  ,B  ,B- ,#N/A,#N/A,#N/A,#N/A
154,#N/A,#N/A,A  ,#N/A,B  ,#N/A,#N/A,#N/A,#N/A
155,#N/A,B+ ,B  ,#N/A,#N/A,#N/A,#N/A,#N/A,B  
156,#N/A,C+ ,C- ,W  ,C- ,#N/A,#N/A,#N/A,#N/A
157,#N/A,B  ,A  ,W  ,A  ,D  ,#N/A,#N/A,#N/A
158,#N/A,B  ,A  ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
159,#N/A,A  ,B+ ,B- ,A  ,#N/A,#N/A,#N/A,#N/A
160,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
161,#N/A,B- ,C- ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
162,#N/A,B  ,A  ,A  ,B+ ,#N/A,#N/A,#N/A,#N/A
163,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
164,B+ ,B- ,C  ,F  ,A- ,#N/A,#N/A,#N/A,#N/A
165,#N/A,A  ,B  ,B+ ,A  ,#N/A,#N/A,#N/A,#N/A
166,B+ ,C  ,B- ,B  ,B  ,#N/A,#N/A,#N/A,#N/A
167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
168,#N/A,B  ,B+ ,C+ ,A  ,#N/A,#N/A,#N/A,#N/A
169,#N/A,F  ,B  ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
170,#N/A,C+ ,B- ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
172,B  ,B- ,B+ ,A- ,A  ,#N/A,#N/A,#N/A,#N/A
173,#N/A,B  ,C- ,C  ,B- ,#N/A,#N/A,#N/A,#N/A
174,#N/A,B  ,A- ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
175,#N/A,C+ ,B- ,B  ,A  ,#N/A,#N/A,#N/A,#N/A
176,#N/A,B  ,A  ,C+ ,B+ ,#N/A,#N/A,#N/A,#N/A
177,#N/A,A- ,A  ,B+ ,A  ,A+ ,#N/A,#N/A,#N/A
178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
179,#N/A,B- ,A- ,B  ,B+ ,#N/A,#N/A,#N/A,#N/A
180,#N/A,A- ,B+ ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
181,#N/A,A- ,A  ,A- ,A  ,#N/A,#N/A,#N/A,#N/A
182,#N/A,B+ ,C  ,A- ,A  ,#N/A,#N/A,#N/A,#N/A
183,#N/A,C+ ,A- ,B  ,A  ,#N/A,#N/A,#N/A,#N/A
184,#N/A,B  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
185,#N/A,A  ,B+ ,B+ ,B  ,#N/A,#N/A,#N/A,#N/A
186,#N/A,A  ,A  ,B+ ,A  ,#N/A,#N/A,#N/A,#N/A
187,#N/A,A  ,A- ,A  ,B+ ,#N/A,#N/A,#N/A,#N/A
188,#N/A,D  ,C- ,#N/A,#N/A,#N/A,#N/A,C  ,#N/A
189,#N/A,A  ,A+ ,A+ ,A  ,#N/A,#N/A,#N/A,#N/A
190,#N/A,C  ,C- ,C  ,B  ,#N/A,#N/A,#N/A,#N/A
191,#N/A,C  ,B  ,C  ,B- ,#N/A,#N/A,#N/A,#N/A
192,#N/A,#N/A,A  ,P  ,#N/A,#N/A,#N/A,#N/A,#N/A
193,B- ,C  ,B  ,B  ,C  ,#N/A,#N/A,#N/A,#N/A
194,#N/A,A  ,B  ,B+ ,A  ,#N/A,#N/A,#N/A,#N/A
195,#N/A,A  ,A+ ,A+ ,A+ ,#N/A,#N/A,#N/A,#N/A
196,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
