anid,remote,a0w1,a1w3,a2w5,a3w7,a4w10
184,#8557A577,1,1,0.92,0.96,0.74
185,#83C1FCBE,1,0.78,0.96,0.76,0.74
186,#83011B99,1,1,0.6,0.64,0.28
188,#83B2F6C7,1,0.96,0.92,0.72,0.82
189,#8E82EEE2,1,1,1,1,1.04
6,#8537D361,1,0.56,0.74,0.08,0.32
99,#85A77D5F,1,0.92,0.88,0.88,0.96
98,#8E5BF520,1,0.92,0.96,0.96,0.78
168,#847B2DD2,1,0.96,1,0,0
169,#383B1C1F,1,0.88,0.38,0.96,0.24
91,#8E8A3F3B,1,0.88,0.84,0.94,0.88
90,#8DC8FABF,1,0.94,1,0.8,0.74
93,#82E36E0F,1,0.92,0.94,0.92,0.96
92,#89887B7A,1,0.98,0.88,0.76,0.74
95,#8E792CDB,1,0.84,0.94,0.84,0.88
161,"['#8561997D', '#056199FD']",1,0.96,0.98,1,1.04
97,#8E12BB27,0.8,0.86,0.92,0.96,0.8
96,#8E3E4AFA,1,0.84,0.88,0.96,0.84
11,#8E78FB0D,1,0.98,0.94,0.28,0.2
10,#97C8E4BB,1,0.86,0.36,0.08,0.64
13,#96A9A49B,1,0.94,0.96,0.98,0.92
12,#85BDECD4,1,0.98,0.86,0.84,0.64
15,#84C1D99C,1,0.98,0.86,0.92,0.04
14,#8590FEEB,1,0.7,0.96,0.8,0.88
17,#83E6B5D0,1,1,0.3,0.76,0.52
16,#9755D210,1,0.76,0.78,0.84,0.94
19,#83F7DDA9,1,1,0.84,0.96,0.32
18,#8E84BAB0,1,0.92,1,0.8,0.28
88,#821B079E,1,0.76,0.36,0.88,0.92
116,#8E17D841,1,0.92,0.88,0.24,0.6
151,#829D7966,1,0.88,0.38,0.88,0.68
150,#8E18F462,1,0.96,1,1,1.04
153,#8F76FA03,1,1,0.94,0.72,0.82
152,#8E9D1506,1,1,0.98,0.96,1.02
155,#8E778871,1,0.88,0.88,0.84,0.56
154,#85F32254,1,0.92,1,0.84,0.6
157,#85E52646,1,1,1,0.96,0.8
156,#9830B61E,1,0.66,0.62,0.8,0.62
159,#858D727A,1,0.92,0.92,0.82,0.58
158,#82527AAA,1,0.84,0.32,0,0
48,#8ED21D41,1,0.8,1,0.4,0.3
49,#8640A462,1,0.72,0.88,0.94,0.54
46,#85F47C0D,1,1,0.96,0.52,0.08
47,#9830A50D,1,1,1,0.12,0.38
44,#8E0E62E2,0.4,0.94,0.84,0.76,0.44
45,#8224F452,1,0.8,0.72,0.96,0.24
42,#971151D7,1,1,0.96,0.96,0.32
43,#8F3F3F8F,0.8,1,0.96,1,0.64
40,#82EAEE86,1,1,1,1,1.04
41,#8B3AF243,1,0.88,0.84,0.94,0.52
1,#96CEA6FE,1,0.92,0.98,0.88,0.96
5,#8E835558,1,0.88,0.84,1,0.7
9,#8D81070B,1,0.82,0.88,0.6,0.66
146,#860331B4,1,0.96,0.82,0.76,0.52
147,#85028D0A,1,0.98,0.96,0.92,0.92
144,#8E6C17F5,1,0.96,1,0.96,0.44
145,#85C7D290,1,1,0.96,0.92,0.92
