anid,cse5a,cse12,cse21,cse30,cse15l,math154,math184a,mae9,ece15
71,#N/A,B  ,B+ ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72,#N/A,#N/A,A- ,#N/A,A- ,#N/A,#N/A,#N/A,#N/A
73,#N/A,A  ,A+ ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
74,#N/A,B  ,B  ,A  ,A+ ,#N/A,#N/A,#N/A,#N/A
75,#N/A,C  ,B  ,#N/A,C  ,#N/A,#N/A,#N/A,C  
76,#N/A,C+ ,B  ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
77,#N/A,A- ,B+ ,B+ ,A  ,#N/A,#N/A,#N/A,#N/A
78,#N/A,C- ,C+ ,B- ,C+ ,#N/A,#N/A,#N/A,#N/A
79,#N/A,A  ,A  ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
80,#N/A,C  ,B- ,C+ ,C  ,#N/A,#N/A,#N/A,#N/A
81,#N/A,B  ,A- ,#N/A,B  ,#N/A,#N/A,#N/A,B+ 
82,#N/A,A  ,A+ ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
83,#N/A,A  ,A  ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
84,#N/A,C  ,A  ,A  ,B  ,#N/A,#N/A,#N/A,B  
85,#N/A,A- ,B+ ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
86,#N/A,C  ,A- ,C  ,C+ ,#N/A,#N/A,#N/A,#N/A
87,#N/A,C  ,B+ ,B- ,B  ,#N/A,#N/A,#N/A,#N/A
88,#N/A,C+ ,B+ ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
89,#N/A,A  ,A  ,B  ,A- ,#N/A,#N/A,#N/A,#N/A
90,#N/A,#N/A,A  ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
91,#N/A,A+ ,A  ,A  ,A+ ,#N/A,#N/A,#N/A,#N/A
92,#N/A,B- ,A  ,B- ,B- ,#N/A,#N/A,#N/A,#N/A
93,#N/A,C+ ,B+ ,A  ,B+ ,#N/A,#N/A,#N/A,#N/A
94,#N/A,B- ,A  ,B- ,B  ,#N/A,#N/A,#N/A,#N/A
95,#N/A,B+ ,A  ,A  ,#N/A,A+ ,B  ,#N/A,#N/A
96,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
97,#N/A,#N/A,B+ ,B  ,A  ,#N/A,#N/A,#N/A,#N/A
98,#N/A,A  ,A  ,C- ,A  ,#N/A,#N/A,#N/A,#N/A
99,#N/A,B  ,B+ ,A- ,B  ,#N/A,#N/A,#N/A,#N/A
100,#N/A,B- ,A- ,A- ,A  ,#N/A,#N/A,#N/A,#N/A
101,#N/A,A  ,A  ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
102,#N/A,#N/A,B+ ,#N/A,A  ,#N/A,#N/A,#N/A,#N/A
103,#N/A,A  ,A  ,#N/A,A  ,#N/A,#N/A,#N/A,B+ 
104,#N/A,B  ,A  ,#N/A,#N/A,#N/A,#N/A,#N/A,C  
105,#N/A,B+ ,A  ,C+ ,B  ,#N/A,#N/A,#N/A,#N/A
106,#N/A,C  ,A- ,#N/A,C+ ,#N/A,#N/A,#N/A,#N/A
107,#N/A,A  ,A  ,A- ,A  ,#N/A,#N/A,#N/A,#N/A
108,#N/A,B+ ,A+ ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
