anid,remote,a1,a2,a3,a4,a5,a6
159,#8FAB6F4B,1,0.9,0.94,0.975,0.9,0.95
38,"['#010C111C', '#10C111C']",1,0.9,0.98,0.925,0.86,1
317,"['#0586E162', '#586E162']",0.8,1,0.86,0.8,0.86,0.8
24,#983D68CD,0.88,1,0.94,1,0.92,0.75
84,#9D6B689E,0.92,1,1,0.975,0.52,0.9
39,#9A4B9B4A,0.98,1,0.84,0.825,0.74,1
20,#9A8E3723,0.94,1,1,0.925,0.86,1
138,#8ECF3273,1,1,0.66,0.775,0.8,0.4
266,#8B140699,0.8,0.74,0.88,0.825,0.66,0.55
86,#1E707618,1,1,1,0.825,1,1
54,#8F80949B,0.86,1,0.9,0.975,0.9,0.75
242,#820E0488,0.92,0.78,0.96,0.8,1,0.9
105,#8FA67F56,0.98,0.94,0.88,0.54,0.95,
40,#8E14EC76,1,0.9,0.88,0.95,0.8,0.9
167,#9A5576B9,0.92,1,0.84,0.975,0.58,0.8
116,#8619B728,0.92,1,0.68,0.95,0.86,0.9
228,#85C67E3D,0.86,1,0.9,0.975,0.98,0.95
210,#85A77D5F,0.98,1,0.76,0.75,0.78,0.75
77,#91524E8D,0.96,0.86,0.76,0.68,0.6,
30,#9A97E2EF,0.86,1,1,0.975,0.8,0.95
181,#8EB3C4F9,0.92,0.92,0.8,0.775,0.86,0.85
101,#9A99E5E6,0.9,0.9,0.8,0.775,0.56,0.85
107,#867A7985,0.94,0.92,0.94,1,0.8,0.9
46,#963504A7,1,0.96,0.95,0.74,0.55,
263,#8E76A159,0.14,0.96,0.62,0.85,0.86,0.7
253,#8E6FF716,0.9,1,1,0.825,0.66,0.65
270,#8A01CB40,1,1,0.8,0.875,0.96,0.95
152,#8FB7B088,1,1,0.96,0.825,0.96,0.8
229,#8A2343EA,0.8,1,0.95,0.7,,
142,#86E40664,0.84,1,0.86,0.75,0.92,0.4
133,#9A9B8081,0.9,1,0.98,1,1,0.9
14,"['#8F2100AE', '#898FB5B3']",0.96,0.98,0.94,0.975,0.96,1
7,#89C86B2A,1,1,0.96,0.975,0.86,0.95
240,#826C42AC,0.84,1,0.9,0.825,0.52,0.8
198,#8B3A1BAA,0.92,0.96,0.84,0.875,0.62,0.75
104,#8470D024,0.96,0.96,0.94,0.925,0.72,0.6
241,#853EF249,0.94,1,0.32,0.675,0.64,0.1
67,#855D66BE,0.84,0.88,0.9,0.975,0.86,0.7
265,#82F23A4A,0.98,0.9,0.76,0.975,0.96,1
