anid,remote,midterm
139,#9AB0D4FE,0.76
46,#96CECA92,0.958
146,#9AAA0F3F,0.875
51,#97C1D482,0.906
113,#8E6DD83B,0.854
169,#9AF97310,0.792
165,#8A13D74E,0.729
249,#86408E48,0.625
107,#9A7FB055,0.792
40,#93049E09,0.875
188,#9A91656E,0.802
182,#84D44111,0.625
13,#A5950A3A,0.958
36,#9ACA5202,0.854
210,#9A2707BA,0.75
76,#8E7816E0,0.813
34,#96DB135E,0.948
56,#9755D210,0.885
112,#A2498C67,0.896
237,#9A97404D,0.5
35,#8E5CD406,1.0
47,#9A966E62,1.0
218,#97C45300,0.76
235,#9A2251E9,0.573
152,#97EF2850,0.75
207,#974FD800,0.844
189,#9D789B7E,0.76
128,#90222795,0.833
141,#9DDF3674,0.875
241,#84A61735,0.563
262,#820AFE76,0.448
3,#A25F37CA,0.99
8,#9A746E80,0.948
32,#8FA28DA0,0.906
116,#846618FA,0.865
198,#9965DE22,0.833
117,#8EE31D70,0.875
137,#8E1558C3,0.854
45,#9A3767CA,1.0
71,#9A9FF6F3,0.896
159,#8E6F30D1,0.792
108,#97419046,0.958
263,#9A3F399C,0.74
173,#885B489B,0.802
67,#9B0231A8,0.875
239,#8622EE4A,0.604
265,#973AE24F,
208,#82F992E9,0.635
0,#87198E10,0.99
79,#9D52EE21,0.906
91,#9AC089D3,0.906
48,#8E1CEB79,0.896
75,"['#A5B04356', '#9ACB7F2E']",0.854
178,#84E62042,0.875
212,#91619F6F,0.792
92,"['#06E851BF', '#6E851BF']",0.844
5,"['#0E91CC53', '#E91CC53']",0.938
217,#9081CBDA,0.771
216,#9ADA5B1B,0.885
179,#9B90A3A8,0.698
166,#9A90050F,0.781
12,#9AC74419,0.99
147,#9987819F,0.885
254,"['#97C30054', '#A24CBF51']",0.51
77,#9AD4BAF4,0.823
63,#974918C6,0.885
144,#9F221DA0,0.896
70,#9A8CC4D2,0.854
192,#8430982C,0.833
24,#9B7AD435,1.0
204,#8E6D54B7,0.823
106,#965AEB27,0.927
142,#905FF03F,0.844
81,"['#830240C1', '#88333C87']",0.885
140,#8F80A8A7,0.896
134,#8473DE29,0.75
58,#97C44B18,0.875
41,#8E88DDDB,0.771
104,#9A875845,0.771
59,#8EB47349,0.948
199,#9D6AAD5A,0.729
149,#966C1EE4,0.927
129,#9996F2FD,0.688
100,#913D8E22,0.844
33,#8DC0BDF0,0.917
228,#9ABC7553,0.635
186,#9A32F55D,0.854
234,#983B5CFF,0.833
95,#9DA0D4E9,0.854
194,#9A90545E,0.844
44,#84707682,0.792
73,#9AB0507A,0.833
16,#8E7FCB3A,0.906
21,#98327CD6,0.917
200,#9AA46C52,0.708
158,#9D6ADE29,0.76
255,#85B5CAFA,0.552
247,#90729173,0.552
17,#9A3AE242,0.938
109,#9A905D57,0.927
174,#908B6A71,0.833
103,#90D4DB9F,0.896
130,#91390AA2,0.875
175,#9A8CE0F6,0.854
42,#9D90161B,0.875
127,#9A37F954,0.781
89,#982F1BAC,0.865
10,#96B10126,0.917
96,#8A9CD5C3,0.969
232,#98F89AFA,0.875
49,#8E0DE96A,0.927
126,#8EC8CB8D,0.833
231,#8DCD1A5A,0.76
185,#8FA50A20,0.792
19,#9A45A877,0.958
87,#8E6D22C1,0.906
97,#98FA3E5C,0.896
94,"['#A02B48C3', '#915C5D90']",0.885
61,#9AA21A22,0.875
214,#8E86ACA4,0.719
115,#9B932028,0.771
248,#8EE3C3AE,0.75
30,#88A8FEDE,1.0
110,#9578EA07,0.781
250,#8E1C35A7,0.521
102,#9A7A0DED,0.833
203,#9AAAF3C3,0.604
62,#9A7DB255,0.927
161,#90646094,0.823
170,#82CF88C5,0.823
38,#8DEF482A,0.854
124,#9820A21A,1.0
154,#9A7CED0B,0.771
238,#85D680D3,0.813
131,#91179610,0.906
133,#89007AF3,0.885
223,#9A3C68CE,0.781
105,#91707A9B,0.938
86,#8FAE7455,0.854
15,#9AA58EB1,0.917
167,#9A974F42,0.719
84,#9A965458,0.865
69,#97C15C0A,0.865
39,#9B9E4144,0.938
148,#8E1540DB,0.771
181,#8E8F1A1B,0.792
160,#9AA3F4CD,0.698
187,#9D7300EE,0.833
260,#9F2E2697,0.438
64,#8E6F2ECF,0.917
26,#8E1656CE,0.979
88,#96A7CFFE,0.917
197,#9A8CB0A6,0.917
25,#85D0A9FC,0.99
80,#96B34E6B,0.865
225,#97C94719,0.729
258,#8E87F0F9,0.208
259,#973661C0,0.625
150,#997ED93E,0.75
143,#8552E136,0.719
256,#9322E958,0.438
68,#998D9480,0.896
20,#97C90D53,0.927
52,#916A847F,0.917
2,#9AA57B44,0.958
201,#9AD52768,0.698
11,#9883C0DB,0.917
171,#8E126FF3,0.729
195,#8E6D9C7F,0.854
244,#9934D07D,0.656
222,#908C2834,0.698
22,#8F5130EE,0.917
157,#930531A7,0.823
6,#97C8F6A9,0.948
243,#850DA129,0.844
72,#89BC0E3B,0.958
226,#8E6AEB0F,0.542
240,#8D81070B,0.531
90,#8FA4FCD7,0.833
205,#9AD7ABE6,0.74
153,#885B30E3,0.823
224,#8295A7B0,0.813
31,#8DB3033D,0.854
53,#96D5EAA9,0.958
246,#9996E2ED,0.688
215,#9AA27C44,0.646
120,#A22455D3,0.781
82,#9ADC5B1D,0.875
111,#913908A0,0.771
132,#9DB2E8C7,0.802
196,#A2379E0B,0.844
162,#9161A757,0.875
168,#99357ED2,0.771
220,#917358BA,0.646
7,#A2547482,0.948
60,#8E1676EE,0.833
176,#9A52E72F,0.688
172,#8391B5A7,0.771
65,#99896979,0.917
193,#9D380FAA,0.833
27,#9A2F2B9E,0.917
78,#9AD0450F,0.833
66,#9B9D8E88,0.917
251,#969F1F16,0.604
264,#111CEDE,
1,#9A95838C,1.0
43,#908D908D,0.979
74,#98F5D9B4,0.844
37,#8E16FC64,0.917
242,#9B5126EC,0.677
180,#8FC9DC9A,0.729
219,"['#83B73B0F', '#9A45F02F']",0.781
213,#85AC163F,0.677
136,#96AEF3CB,0.875
227,#9AAE497D,0.708
122,#9831AF06,0.729
123,#83B2E9D8,0.771
253,#98FABDDF,0.469
119,#95F2E186,0.948
99,#85A59ABA,0.885
261,#858DD9D1,0.813
156,"['#A595B080', '#97C53567']",0.76
138,#97C8A3FC,0.719
233,#9A974D40,0.51
209,#8289979C,0.552
184,#82C9ACE7,0.729
221,#9AAE4773,0.792
135,#96A792A3,0.854
229,#830052D1,0.844
23,#98F8ADCD,0.958
245,#9A50F832,0.635
155,#983206AC,0.813
28,#8A58D002,0.927
164,#9A956966,0.729
125,#97C8E1BE,0.854
29,#8DCE7330,0.927
83,#913D9438,0.865
114,#9A56CB07,0.813
118,#8E7B8277,0.708
183,#95B34563,0.76
18,#85011195,0.938
9,#888F2C2B,0.917
252,#8E78BD4B,0.542
177,#9A265DE1,0.875
98,#982A63D1,0.854
54,#8AC91152,0.833
211,#8FAA5772,0.563
145,#8E0E3FBF,0.917
163,#8FAB3410,0.792
206,#9A21C47F,0.813
202,#8A63EC05,0.813
151,#8DFC2958,0.75
257,#973679D8,0.333
236,#21FB70AA,0.604
190,#97C4D88B,0.667
14,#9B82F3EA,0.958
57,#963D00AB,0.813
55,#97D7E1A1,0.823
191,#96C6C191,0.844
121,#8E92D7CB,0.781
50,#8E757C87,0.958
85,#9B93E0E8,0.958
230,#88F92B5A,0.75
4,#9A84F3ED,0.958
93,#916EE718,0.917
101,#982D5FEA,0.823
