anid,remote,a1,a2,a3,a4,a5,a6
139,#9AB0D4FE,0.969,1.0,0.823,1.0,0.95,1.0
46,#96CECA92,1.0,1.0,0.99,1.0,1.0,1.0
146,#9AAA0F3F,1.0,0.944,0.93,0.943,0.767,1.0
51,#97C1D482,0.906,0.833,0.983,0.914,0.883,0.633
113,#8E6DD83B,0.969,1.0,0.973,0.971,0.95,0.967
169,#9AF97310,0.875,1.0,0.857,0.757,0.808
165,#8A13D74E,0.938,1.0,0.94,0.971,0.9,0.883
249,#86408E48,0.813,0.889,0.786,0.6,0.567
107,#9A7FB055,0.938,0.917,0.927,1.0,0.9,0.917
40,#93049E09,0.938,1.0,0.84,0.929,0.733,0.9
188,#9A91656E,0.781,1.0,0.91,0.857,0.767,0.975
182,#84D44111,0.875,0.917,0.923,0.729,0.7,0.783
13,#A5950A3A,0.875,1.0,0.973,0.8,0.917
36,#9ACA5202,1.0,1.0,0.803,0.929,0.867,0.992
210,#9A2707BA,0.719,1.0,0.873,0.971,0.8
76,#8E7816E0,1.0,1.0,0.967,1.0,0.95,0.925
34,#96DB135E,0.844,0.861,0.94,0.914,0.917,0.8
56,#9755D210,0.813,0.833,0.857,0.971,0.833,0.767
112,#A2498C67,0.844,1.0,0.823,1.0,0.767,0.875
237,#9A97404D,0.844,0.917,0.923,0.971,0.683,0.95
35,#8E5CD406,0.844,0.889,0.6,0.943,0.817
47,#9A966E62,0.781,0.944,0.973,0.9,0.85,0.85
218,#97C45300,0.969,0.743,0.757,0.6,0.842
235,#9A2251E9,0.844,1.0,0.813,0.65,0.75
152,#97EF2850,0.969,1.0,0.94,0.971,0.933,0.858
207,#974FD800,0.906,0.972,0.917,0.786,0.85,0.633
189,#9D789B7E,0.781,0.944,0.91,0.729,0.85
128,#90222795,0.938,1.0,0.833,0.886,1.0,0.942
141,#9DDF3674,0.844,0.917,0.923,0.886,0.85,0.75
241,#84A61735,0.969,1.0,0.86,1.0,0.9,0.967
262,#820AFE76,0.625,0.617,0.257
3,#A25F37CA,0.969,0.889,0.99,0.767,1.0
8,#9A746E80,0.875,1.0,0.99,1.0,0.95,0.983
32,#8FA28DA0,0.938,0.944,0.913,1.0,0.917,0.85
116,#846618FA,1.0,1.0,0.983,0.971,0.867,0.875
198,#9965DE22,0.969,1.0,0.99,0.371,0.883,0.983
117,#8EE31D70,0.781,1.0,0.84,0.814,0.883,1.0
137,#8E1558C3,0.906,0.889,0.923,0.929,0.75,0.383
45,#9A3767CA,0.969,1.0,0.957,1.0,0.967,1.0
71,#9A9FF6F3,0.969,1.0,0.99,1.0,0.933,0.967
159,#8E6F30D1,1.0,0.944,0.95,0.971,0.967
108,#97419046,0.813,1.0,0.99,0.957,0.917,0.783
263,#9A3F399C,0.813
173,#885B489B,0.938,0.861,0.907,0.929,0.817,0.75
67,#9B0231A8,0.906,0.889,1.0,1.0,1.0
239,#8622EE4A,0.917,0.64,0.914,0.883,0.683
265,#973AE24F
208,#82F992E9,0.906,0.75,0.907,0.886,0.9,0.9
0,#87198E10,0.969,1.0,1.0,1.0,1.0
79,#9D52EE21,0.969,1.0,0.9,1.0,0.933,0.967
91,#9AC089D3,0.875,0.889,0.94,0.929,0.917,0.9
48,#8E1CEB79,0.938,1.0,0.933,1.0,0.95,0.8
75,"['#A5B04356', '#9ACB7F2E']",0.875,1.0,1.0,1.0,0.933,0.9
178,#84E62042,0.875,1.0,0.583,0.929,0.933,0.9
212,#91619F6F,0.875,1.0,0.807,0.843,0.633,0.833
92,"['#06E851BF', '#6E851BF']",1.0,0.944,0.95,0.843,0.533
5,"['#0E91CC53', '#E91CC53']",0.969,1.0,0.99,1.0,0.983,0.983
217,#9081CBDA,0.875,1.0,0.843,0.583,0.633
216,#9ADA5B1B,0.875,1.0,0.99,0.983,0.967
179,#9B90A3A8,0.844,0.833,0.7,0.7,0.925
166,#9A90050F,0.875,1.0,0.967,0.914,0.75,0.883
12,#9AC74419,0.969,1.0,1.0,1.0,1.0,1.0
147,#9987819F,0.906,0.944,0.957,0.957,0.967,0.983
254,"['#97C30054', '#A24CBF51']",0.813,1.0,0.65,0.667,0.483
77,#9AD4BAF4,0.844,1.0,0.78,1.0,0.833,0.908
63,#974918C6,0.938,1.0,0.99,1.0,0.933,0.883
144,#9F221DA0,0.906,0.972,0.89,0.986,0.567
70,#9A8CC4D2,0.906,1.0,1.0,1.0,1.0,1.0
192,#8430982C,0.875,1.0,0.84,0.871,0.683,0.767
24,#9B7AD435,0.969,1.0,0.99,1.0,1.0,1.0
204,#8E6D54B7,0.969,0.778,0.657,0.857,0.633
106,#965AEB27,0.938,0.778,0.96,0.633,0.817
142,#905FF03F,0.875,0.944,0.99,0.929,0.9,0.867
81,"['#830240C1', '#88333C87']",0.875,0.944,0.927,0.971,0.967,0.717
140,#8F80A8A7,0.844,1.0,0.99,0.914,0.917,0.975
134,#8473DE29,0.969,0.889,0.943,0.829,0.867,0.958
58,#97C44B18,0.969,1.0,1.0,1.0,1.0
41,#8E88DDDB,0.875,1.0,0.99,1.0,0.917,0.908
104,#9A875845,0.906,0.917,0.8,0.929,0.75,0.733
59,#8EB47349,0.969,0.889,0.85,0.771,0.7,0.758
199,#9D6AAD5A,0.875,0.778,0.686,0.692
149,#966C1EE4,0.781,1.0,0.923,0.757,0.833,0.842
129,#9996F2FD,0.875,0.944,0.923,0.943,0.967,0.883
100,#913D8E22,0.813,1.0,0.823,0.8,0.917,0.9
33,#8DC0BDF0,0.906,0.889,0.9,0.971,0.85
228,#9ABC7553,0.875,1.0,0.923,0.957,0.708
186,#9A32F55D,0.969,1.0,0.923,0.829,0.683,0.825
234,#983B5CFF,0.969,1.0,1.0
95,#9DA0D4E9,0.969,1.0,0.957,1.0,0.983,1.0
194,#9A90545E,0.969,1.0,0.963,0.914,0.867,0.917
44,#84707682,0.969,1.0,0.99,0.914,0.9,0.867
73,#9AB0507A,0.719,0.889,0.89,0.971,0.817,0.825
16,#8E7FCB3A,0.781,0.944,0.99,1.0,0.933
21,#98327CD6,0.969,1.0,0.99,1.0,1.0,0.883
200,#9AA46C52,0.969,1.0,0.857,0.786,0.983,0.967
158,#9D6ADE29,0.969,1.0,0.923,0.743,0.767,0.842
255,#85B5CAFA,0.781,0.667,0.76,0.686,0.583
247,#90729173,0.906,0.556,0.8,0.929,0.75,0.717
17,#9A3AE242,0.969,0.972,0.94,0.886,0.9,0.95
109,#9A905D57,0.844,0.778,0.947,1.0,1.0,1.0
174,#908B6A71,1.0,0.889,0.99,0.986,0.867
103,#90D4DB9F,0.906,0.889,0.95,0.971,0.883,0.967
130,#91390AA2,0.969,0.944,0.933,0.971,0.867,1.0
175,#9A8CE0F6,0.969,0.972,0.89,0.857,0.65
42,#9D90161B,0.969,0.889,0.94,1.0,0.85,1.0
127,#9A37F954,0.875,1.0,0.99,1.0,0.983,0.967
89,#982F1BAC,0.969,1.0,0.99,1.0,1.0,0.983
10,#96B10126,0.906,1.0,0.99,1.0,0.95,1.0
96,#8A9CD5C3,0.906,0.889,0.923,0.914,0.8,0.883
232,#98F89AFA,0.531,0.944,0.4,0.8,0.567,0.067
49,#8E0DE96A,1.0,1.0,0.923,0.971,0.733,1.0
126,#8EC8CB8D,0.844,0.833,0.94,1.0,0.95,0.967
231,#8DCD1A5A,0.781,0.917,0.633,0.971,0.683,0.792
185,#8FA50A20,0.781,0.972,0.797,0.814,0.8,0.65
19,#9A45A877,0.938,1.0,0.94,0.9,1.0,1.0
87,#8E6D22C1,0.969,1.0,0.947,0.9,0.983,0.95
97,#98FA3E5C,0.969,1.0,0.857,1.0,0.95,0.967
94,"['#A02B48C3', '#915C5D90']",0.906,1.0,0.857,0.871,0.917,0.867
61,#9AA21A22,0.938,1.0,0.94,0.943,0.833,0.95
214,#8E86ACA4,0.969,1.0,0.847,0.843,0.867,1.0
115,#9B932028,0.875,1.0,0.923,0.957,0.725
248,#8EE3C3AE,0.813,0.973,0.686,0.7
30,#88A8FEDE,0.938,1.0,0.957,0.886,0.9,0.775
110,#9578EA07,1.0,1.0,0.823,0.929,0.733,0.958
250,#8E1C35A7,0.688,1.0,0.807,0.871,0.733,0.908
102,#9A7A0DED,0.875,0.972,0.79,0.857,0.65,0.867
203,#9AAAF3C3,0.906,0.889,0.71,0.843,0.9,0.892
62,#9A7DB255,0.813,0.694,0.92,0.9,0.783,0.933
161,#90646094,0.813,0.889,0.79,0.829,0.367,0.533
170,#82CF88C5,0.844,1.0,0.923,0.833,0.967
38,#8DEF482A,0.844,1.0,0.94,1.0,0.983,0.933
124,#9820A21A,0.719,1.0,0.95,0.943,0.933,0.858
154,#9A7CED0B,1.0,1.0,0.897,1.0,0.717
238,#85D680D3,0.938,1.0,0.95,0.957,0.733
131,#91179610,0.906,0.611,0.943,1.0,0.8,0.817
