anid,cse30,cse140,cse140l
0,A+ ,A+ ,A  
1,#N/A,#N/A,#N/A
2,A+ ,A+ ,A  
3,A  ,A- ,A  
4,#N/A,#N/A,#N/A
5,A+ ,A  ,A+ 
6,A  ,A+ ,A- 
7,B+ ,A  ,A  
8,A- ,A- ,A  
9,A  ,A+ ,A  
10,A  ,B+ ,A  
11,B+ ,A  ,A  
12,A  ,B+ ,B  
13,A  ,A  ,A  
14,A  ,A  ,A  
15,A  ,A+ ,A  
16,A  ,A- ,A  
17,A  ,A  ,A  
18,#N/A,B  ,A  
19,#N/A,#N/A,#N/A
20,#N/A,A  ,A  
21,A+ ,A  ,A+ 
22,A  ,A  ,A- 
23,A+ ,A  ,A+ 
24,#N/A,#N/A,#N/A
25,A  ,B+ ,A+ 
26,B  ,B- ,A- 
27,A  ,A- ,A  
28,A- ,A  ,B  
29,A+ ,B  ,A  
30,#N/A,B  ,A  
31,A  ,A- ,A- 
32,A  ,A  ,B+ 
33,B+ ,A- ,A  
34,A  ,A  ,A  
35,A  ,A  ,A  
36,A+ ,A  ,A  
37,A+ ,A  ,A+ 
38,#N/A,A  ,A  
39,B- ,A- ,A  
40,#N/A,#N/A,#N/A
41,B+ ,B+ ,A  
42,A  ,B  ,A  
43,B+ ,A  ,B  
44,A  ,B+ ,A- 
45,A  ,B+ ,A  
46,A+ ,A  ,B+ 
47,#N/A,A  ,A- 
48,A  ,A  ,A  
49,B- ,B+ ,A  
50,B  ,A  ,A  
51,A+ ,B+ ,A- 
52,#N/A,B+ ,A  
53,#N/A,A  ,A  
54,A+ ,B- ,A  
55,#N/A,#N/A,#N/A
56,A- ,B+ ,A  
57,#N/A,A  ,A+ 
58,A  ,A- ,B  
59,A  ,B+ ,A+ 
60,A  ,B+ ,B+ 
61,A- ,B  ,A- 
62,A  ,A  ,A  
63,B+ ,B+ ,A  
64,A  ,A  ,A  
65,A+ ,A  ,A  
66,A- ,B+ ,A- 
67,A- ,A- ,A  
68,B+ ,B- ,A- 
69,A- ,A- ,B+ 
70,A  ,A  ,A  
71,A- ,B+ ,B+ 
72,A+ ,A  ,A  
73,A  ,B+ ,A  
74,A+ ,A  ,A  
75,B  ,A- ,A  
76,A  ,A+ ,A  
77,B+ ,B  ,A  
78,B  ,A  ,A  
79,A  ,A+ ,A+ 
80,A+ ,A  ,A  
81,A  ,B+ ,A  
82,B- ,B- ,A- 
83,#N/A,#N/A,#N/A
84,#N/A,#N/A,#N/A
85,A- ,B  ,A  
86,A+ ,A  ,B  
87,#N/A,A  ,A  
88,B  ,A- ,A  
89,#N/A,#N/A,#N/A
90,A  ,A- ,A  
91,B+ ,A  ,A- 
92,B  ,A- ,A  
93,B- ,C+ ,A- 
94,A  ,B+ ,A  
95,B+ ,C+ ,A  
96,A  ,B+ ,A  
97,A- ,A- ,A  
98,A- ,A  ,A  
99,C  ,A- ,A  
100,#N/A,#N/A,#N/A
101,B  ,A- ,A  
102,#N/A,#N/A,#N/A
103,A  ,A  ,B  
104,B+ ,A- ,A- 
105,A  ,A  ,A  
106,A- ,A  ,B+ 
107,#N/A,#N/A,#N/A
108,A  ,A  ,B+ 
109,B  ,B+ ,A  
110,B+ ,C  ,B  
111,#N/A,A+ ,A- 
112,A  ,B  ,B- 
113,C  ,A- ,A- 
114,B  ,C- ,A- 
115,A  ,A  ,B- 
116,C  ,C  ,C+ 
117,A- ,A  ,A  
118,A  ,B+ ,A- 
119,B  ,A  ,A+ 
120,A  ,B  ,A  
121,A  ,A- ,A  
122,A  ,A  ,A+ 
123,B  ,A  ,A  
124,A- ,A- ,B+ 
125,A  ,C  ,B+ 
126,B+ ,B+ ,A  
127,B+ ,B+ ,A- 
128,B+ ,C+ ,B  
129,#N/A,B+ ,A  
130,C+ ,B+ ,A- 
131,B+ ,W  ,A  
132,A  ,B+ ,A  
133,B- ,A  ,A- 
134,A  ,B  ,B+ 
135,C  ,B- ,B+ 
136,B+ ,A- ,B- 
137,B- ,B  ,A  
138,A- ,A- ,A  
139,A  ,A- ,A- 
140,B+ ,A- ,C+ 
141,B  ,B  ,A- 
142,#N/A,A- ,A- 
143,#N/A,#N/A,#N/A
144,B  ,B+ ,A  
145,#N/A,B  ,A- 
146,D  ,B  ,W  
147,B- ,A- ,A- 
148,B+ ,C+ ,A- 
149,B  ,C+ ,A  
150,A  ,A- ,A  
151,#N/A,A  ,A- 
152,B  ,C  ,C+ 
153,C+ ,A- ,A  
154,#N/A,A+ ,A  
155,B- ,A- ,C  
156,B  ,A  ,B  
157,B+ ,A- ,A  
158,#N/A,#N/A,#N/A
159,A  ,A  ,B  
160,A+ ,A  ,A  
161,A  ,C  ,B  
162,C  ,C  ,B+ 
163,C+ ,A  ,B  
164,C+ ,C  ,A  
165,B  ,C- ,A  
166,B+ ,C+ ,C+ 
167,#N/A,A- ,A- 
168,#N/A,A- ,A  
169,A  ,A  ,C+ 
170,A  ,A- ,B  
171,#N/A,B- ,A  
172,A+ ,A  ,A  
173,C  ,B  ,B+ 
174,A  ,B  ,A- 
175,A  ,B- ,A  
176,B+ ,A- ,B+ 
177,#N/A,C+ ,B  
178,B  ,C  ,A  
179,A  ,B  ,A  
180,C- ,B- ,A  
181,A  ,B  ,A  
182,#N/A,#N/A,#N/A
183,#N/A,B+ ,A- 
184,#N/A,B+ ,A- 
185,A- ,A- ,A  
186,A  ,B  ,A- 
187,D  ,B- ,A  
188,B- ,C  ,B+ 
189,B+ ,B+ ,A  
190,B  ,B+ ,A  
191,A  ,B  ,A- 
192,B+ ,A  ,B  
193,B  ,A  ,A  
194,C- ,C+ ,A  
195,B+ ,B  ,B+ 
196,B+ ,B+ ,A- 
197,B  ,C- ,A  
198,C+ ,B- ,A  
199,B  ,C+ ,B- 
200,B- ,A- ,C+ 
201,#N/A,B- ,C+ 
202,A- ,C+ ,A  
203,B  ,#N/A,A  
204,B+ ,C+ ,A- 
205,F  ,D  ,B- 
206,A  ,B  ,A  
207,C- ,C  ,B  
208,B+ ,C+ ,A  
209,B  ,A- ,A  
210,A- ,B- ,A- 
211,#N/A,B  ,A  
212,#N/A,#N/A,#N/A
213,B+ ,B+ ,C+ 
214,B  ,A  ,B  
215,B  ,B- ,B  
216,B  ,C  ,B- 
217,B- ,B  ,A  
218,B  ,B  ,B+ 
219,B+ ,C+ ,A- 
220,A+ ,A- ,A  
221,B  ,B  ,B+ 
222,#N/A,#N/A,#N/A
223,A- ,C+ ,B  
224,B  ,B- ,A  
225,C  ,C  ,B  
226,A  ,A  ,A  
227,B+ ,A  ,B  
228,B+ ,C+ ,B  
229,A  ,B- ,A  
230,B- ,A  ,B+ 
231,C  ,C  ,A- 
232,A- ,A  ,A  
233,C+ ,B- ,A  
234,A- ,C+ ,A  
235,A  ,B+ ,B+ 
236,C+ ,B  ,A- 
237,B+ ,B+ ,A  
238,D  ,C+ ,B+ 
239,A- ,B+ ,A  
240,C+ ,C+ ,A- 
241,C- ,C- ,C- 
242,A- ,A  ,A  
243,B+ ,B+ ,A  
244,B+ ,B  ,A- 
245,#N/A,#N/A,#N/A
246,B+ ,B- ,A  
247,#N/A,#N/A,#N/A
248,C- ,A- ,A- 
249,A- ,B- ,A  
250,#N/A,A  ,A  
251,A  ,C+ ,B  
252,C  ,C+ ,B  
253,B  ,C  ,A  
254,C  ,C  ,D  
255,C  ,C+ ,A  
256,C+ ,C  ,A  
257,B  ,B+ ,B  
258,B+ ,C+ ,B- 
259,A  ,C+ ,A  
260,C+ ,B- ,B+ 
261,B  ,C  ,B- 
262,#N/A,C  ,A  
263,C+ ,C  ,B  
264,B- ,C+ ,B- 
265,C+ ,B- ,C+ 
266,B  ,B  ,B+ 
267,B  ,B- ,B  
268,C+ ,C+ ,B  
269,B  ,C- ,A- 
270,B+ ,B- ,B  
271,C- ,C+ ,B- 
272,#N/A,#N/A,#N/A
273,B- ,B  ,A- 
274,B  ,C  ,F  
275,#N/A,#N/A,#N/A
276,A  ,B  ,B+ 
277,C- ,C  ,A- 
278,C  ,C- ,A- 
279,B  ,A  ,B+ 
280,B  ,A- ,B+ 
281,A- ,A- ,C  
282,C+ ,C+ ,B+ 
283,#N/A,B  ,B+ 
284,C  ,C+ ,B  
285,A- ,B  ,A- 
286,B  ,C  ,A  
287,C  ,C+ ,B+ 
288,B  ,C+ ,A  
289,C  ,C+ ,A- 
290,A- ,B- ,A  
291,B+ ,B- ,B+ 
292,B+ ,C  ,A  
293,#N/A,C+ ,B+ 
294,A  ,A  ,B  
295,C- ,C- ,C- 
296,C  ,B+ ,B  
297,A- ,B  ,B  
298,B  ,B+ ,A  
299,C  ,B- ,C+ 
300,B  ,B- ,B+ 
301,C- ,C+ ,C  
302,B- ,A- ,B  
303,#N/A,B  ,A  
304,B+ ,B  ,B  
305,B  ,C  ,A  
306,C+ ,A- ,B- 
307,B  ,A  ,C+ 
308,C  ,B  ,A  
309,C- ,C+ ,A- 
310,B  ,B- ,A- 
311,C- ,C+ ,A- 
312,C+ ,D  ,A- 
313,B  ,B  ,A- 
314,C- ,C- ,B  
315,B  ,C+ ,B+ 
316,P  ,A  ,B+ 
317,C+ ,B  ,C  
318,B  ,B- ,A- 
319,C- ,C+ ,B  
