qid,FA14a_ID,FA14b_ID,FA15_ID,FA16_ID,cans,VoteType,FA14_Correct,FA15_Correct,Topic
73,,,l07q3,l07q9,4,ind,0,0,4
,,,,,,,,,
74,l05q1,l05q1,l07q5,l07q10,4,ind,4.545,12.258,4
,,,,,,,,,
75,l05q2,l05q2,l07q6,l07q11,4,Group,12.121,20.323,4
,,,,,,,,,
76,l05q3,l05q3,l07q7,l07q12,2,ind,30.303,44.839,4
,,,,,,,,,
77,l05q4,l05q4,l07q8,l07q13,2,Group,37.879,51.935,4
,,,,,,,,,
78,l05q5,l05q5,l07q9,l07q14,4,ind,37.879,37.419,4
,,,,,,,,,
79,l05q6,l05q6,l07q10,l07q15,4,Group,60.606,55.484,4
,,,,,,,,,
80,l05q7,l05q7,l07q11,,4,ind,28.788,21.935,4
,,,,,,,,,
81,l05q8,,l07q12,,4,Group,56.061,41.613,4
,,,,,,,,,
82,l05q9,l05q8,l07q13,l07q16,1,ind,46.97,37.097,4
,,,,,,,,,
83,l05q10,l05q9,l07q14,l07q17,1,Group,46.97,47.419,4
,,,,,,,,,
84,l05q11,l05q10,l08q1,l08q1,2,ind,22.727,22.896,4
,,,,,,,,,
85,l05q12,l05q11,l08q2,l08q2,2,Group,19.697,28.283,4
,,,,,,,,,
86,l06q1,l06q1,l08q3,l08q3,2,ind,50.667,52.525,5
,,,,,,,,,
87,l06q2,l06q2,l08q4,l08q4,2,Group,46.667,63.3,5
,,,,,,,,,
88,l06q3,l06q3,l08q5,l09q1,5,ind,20,22.222,5
,,,,,,,,,
89,l06q4,l06q4,l08q6,l09q2,5,Group,32,27.273,5
,,,,,,,,,
90,l06q5,l06q6,l09q2,l09q3,3,ind,24,18.621,5
,,,,,,,,,
91,l06q6,l06q7,l09q3,l09q4,3,Group,20,36.207,5
,,,,,,,,,
92,l06q7,l06q8,l09q4,l09q5,2,ind,40,51.034,5
,,,,,,,,,
93,l07q1,l07q1,l09q5,l09q6,2,ind,63.492,48.966,5
,,,,,,,,,
94,l07q2,l07q2,l09q6,l09q7,2,Group,73.016,57.586,5
,,,,,,,,,
95,l07q3,l07q3,l09q7,,3,ind,46.032,54.138,5
,,,,,,,,,
96,l07q4,l07q4,l09q8,,3,Group,69.841,69.31,5
,,,,,,,,,
97,l07q5,l07q5,l09q9,l09q8,4,ind,25.397,16.207,5
,,,,,,,,,
98,l07q6,l07q6,l09q10,l09q9,4,Group,23.81,23.448,5
,,,,,,,,,
99,,,l11q6,l10q3,1,ind,0,0,-1
,,,,,,,,,
100,,,l11q7,l10q4,1,Group,0,0,-1
