anid,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,readingq12,readingq13,readingq14,readingq15
0,2,2,2,0,2,2,2,2,0,0,2,2,1,0
1,2,0,-2,0,2,0,2,2,2,2,0,0,0,0
2,0,-2,0,0,-2,2,2,2,2,2,0,0,0,0
3,0,2,-2,0,-2,2,2,2,1,2,2,2,0,1
4,0,0,0,-2,-2,0,0,0,1,0,0,2,-1,-2
5,2,2,2,0,0,2,2,2,2,2,0,0,0,0
6,0,-2,-2,-2,-2,-2,0,0,-1,2,0,0,-1,-2
7,0,0,0,-1,0,2,2,2,0,1,0,2,0,-2
8,2,2,0,-2,2,2,2,2,0,2,1,2,0,2
9,2,2,2,0,2,2,0,0,2,2,0,0,2,0
10,0,0,0,0,0,-2,0,0,2,2,0,0,1,1
11,0,2,2,0,2,2,2,2,0,2,2,2,1,2
12,2,2,2,-2,2,0,0,0,2,2,2,0,2,2
13,2,0,2,2,-2,2,2,-2,2,2,-1,1,2,-2
14,0,2,2,-2,-2,2,2,2,0,2,-2,2,0,-2
15,0,-2,0,0,0,2,0,0,2,0,0,2,0,0
16,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,2,2,0,0,2,2,0,0,2,2,0,0,0,2
18,0,0,2,2,2,2,2,2,2,2,0,2,2,2
19,2,0,0,0,2,2,2,2,0,2,2,0,2,2
20,0,0,0,-2,0,2,0,0,0,-1,0,0,0,0
21,2,2,0,1,2,2,2,2,2,2,0,2,2,2
22,2,2,0,-2,0,2,0,0,1,2,0,2,-2,0
23,2,2,-2,0,-1,0,2,2,-1,0,-2,2,0,0
24,0,2,2,0,0,2,2,2,-2,2,-1,2,1,-2
25,0,0,-2,0,-2,2,-2,-2,-1,0,0,0,-1,-2
26,0,-2,-2,0,-2,0,0,0,0,0,0,0,0,0
27,2,2,2,0,2,2,2,2,-1,0,2,2,2,2
28,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
29,0,-2,0,0,-2,0,0,0,0,0,0,2,0,2
30,0,0,0,0,0,0,0,0,0,1,2,0,2,2
31,2,2,0,0,2,2,2,2,0,1,2,2,0,2
32,0,0,0,0,0,0,0,0,0,2,0,0,0,0
33,2,0,2,0,2,2,2,2,2,2,0,2,1,0
34,0,0,0,-2,-2,0,0,0,2,2,2,0,1,-1
35,0,0,0,0,0,2,0,0,2,2,0,2,-1,0
36,-2,2,-2,0,0,2,2,2,0,0,0,0,1,0
37,2,0,0,2,0,0,0,0,0,0,0,0,-1,0
38,0,0,0,0,0,0,2,2,2,0,2,2,0,0
