anid,readingq2w1,readingq3w1,readingq4w2,readingq5w2,readingq6w2,readingq7w3,readingq8w3,readingq9w3,readingq10w4,readingq11w4,readingq12w4,readingq13w5,readingq14w5,readingq15w5
95,2,1,1,NA,2,1,2,2,NA,2,1,2,2,1
96,NA,2,2,2,1,2,2,2,2,2,2,2,1,1
97,2,1,2,1,2,2,2,2,0,2,2,1,1,2
98,1,1,1,1,1,2,2,2,2,2,2,2,2,2
99,NA,2,2,NA,NA,1,2,2,0,2,2,NA,1,2
100,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,2,2
101,NA,1,1,1,1,2,2,2,1,1,2,1,NA,0
102,0,2,1,0,1,2,0,0,1,1,0,1,NA,0
103,2,2,2,1,2,1,2,2,2,2,2,NA,1,NA
104,NA,NA,NA,NA,NA,NA,2,2,0,2,1,2,2,0
105,1,2,2,1,2,2,2,2,NA,NA,2,2,1,2
106,2,2,2,1,2,2,1,1,2,1,2,2,2,2
107,2,NA,1,1,1,2,2,2,1,1,1,1,2,2
108,2,NA,2,1,2,2,1,1,NA,2,NA,1,1,NA
109,2,1,1,1,2,2,2,2,2,2,NA,2,1,2
110,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
111,2,NA,1,1,2,2,1,NA,1,2,2,1,1,2
112,2,1,1,1,2,2,2,2,2,2,2,2,0,2
113,1,1,2,1,1,2,1,1,2,2,2,2,1,2
114,2,2,2,2,2,2,2,1,2,2,2,2,1,2
115,2,0,0,1,1,2,0,1,NA,2,0,2,1,0
116,NA,1,NA,0,2,2,1,1,2,2,0,2,1,1
117,1,1,1,1,1,2,2,2,2,2,2,2,2,1
118,2,1,1,0,2,2,1,NA,2,2,2,1,NA,2
119,1,1,2,2,1,1,1,2,2,1,1,2,2,0
120,NA,2,2,1,1,2,2,2,2,2,2,2,1,1
121,NA,1,2,1,1,2,2,2,2,2,2,2,0,0
122,NA,NA,0,NA,NA,2,0,0,1,NA,2,2,1,NA
123,NA,NA,NA,NA,1,NA,1,NA,1,2,1,NA,1,0
124,1,1,0,0,2,2,2,2,1,2,2,1,2,0
125,NA,2,1,1,1,2,1,1,2,2,1,1,1,0
126,1,1,1,1,2,2,2,2,2,2,NA,2,2,2
127,1,1,1,1,1,NA,2,2,NA,2,0,2,1,1
128,1,NA,0,0,2,NA,2,2,2,1,NA,2,NA,0
129,NA,2,0,1,2,2,1,1,2,2,NA,2,NA,1
130,1,0,0,0,1,1,1,1,NA,2,NA,2,1,NA
131,2,2,2,1,2,2,2,2,NA,2,1,1,2,2
132,NA,2,2,1,2,1,1,1,1,2,1,2,2,2
133,2,2,2,1,2,2,2,2,1,2,2,2,2,2
134,1,2,2,1,2,2,2,2,2,2,2,2,2,2
135,2,1,1,1,1,2,2,2,2,NA,1,2,1,2
136,1,2,1,1,2,2,2,2,2,2,2,2,2,NA
137,1,1,2,1,1,2,0,0,NA,2,NA,NA,2,2
138,1,2,1,1,2,1,0,0,2,1,NA,1,NA,2
139,2,2,2,1,2,2,1,1,1,2,2,1,1,NA
140,2,1,2,1,2,2,2,2,2,2,NA,2,1,1
141,2,1,2,1,2,2,2,2,1,1,2,2,1,1
