anid,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,readingq12,readingq13,readingq14,readingq15
98,0,0,0,0,0,2,2,2,2,2,2,2,2,2
99,0,2,2,0,0,0,2,2,-2,2,2,0,1,2
100,0,0,0,0,0,2,2,2,2,2,2,0,2,2
101,0,0,0,0,0,2,2,2,1,0,2,0,0,-2
102,-2,2,0,-2,0,2,-2,-2,1,0,-1,0,0,-2
103,2,2,2,0,2,0,2,2,2,2,2,0,1,0
104,0,0,0,0,0,0,2,2,-1,2,0,2,2,-2
105,0,2,2,0,2,2,2,2,0,0,2,2,1,2
106,2,2,2,0,2,2,0,0,2,0,2,2,2,2
107,2,0,0,0,0,2,2,2,1,0,0,0,2,2
108,2,0,2,0,2,2,0,0,0,2,0,0,0,0
109,2,0,0,0,2,2,2,2,2,2,0,2,1,2
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2,0,0,0,2,2,0,0,1,2,2,0,1,2
112,2,0,0,0,2,2,2,2,2,2,2,2,-1,2
113,0,0,2,0,0,2,0,0,2,2,2,2,1,2
114,2,2,2,2,2,2,2,0,2,2,2,2,1,2
115,2,-2,-2,0,0,2,-2,0,0,2,-2,2,1,-2
116,0,0,0,-2,2,2,0,0,2,2,-2,2,0,0
117,0,0,0,0,0,2,2,2,2,2,2,2,2,0
118,2,0,0,-2,2,2,0,0,2,2,2,0,0,2
119,0,0,2,2,0,0,0,2,2,0,0,2,2,-1
120,0,2,2,0,0,2,2,2,2,2,2,2,0,0
121,0,0,2,0,0,2,2,2,2,2,2,2,-1,-2
122,0,0,-2,0,0,2,-2,-2,0,0,2,2,0,0
123,0,0,0,0,0,0,0,0,1,2,0,0,1,-2
124,0,0,-2,-2,2,2,2,2,0,2,2,0,2,-2
125,0,2,0,0,0,2,0,0,2,2,1,0,1,-2
126,0,0,0,0,2,2,2,2,2,2,0,2,2,2
127,0,0,0,0,0,0,2,2,0,2,-1,2,1,0
128,0,0,-2,-2,2,0,2,2,2,0,0,2,0,-2
129,0,2,-2,0,2,2,0,0,2,2,0,2,0,0
130,0,-2,-2,-2,0,0,0,0,0,2,0,2,1,0
131,2,2,2,0,2,2,2,2,0,2,0,0,2,2
132,0,2,2,0,2,0,0,0,0,2,0,2,2,2
133,2,2,2,0,2,2,2,2,1,2,2,2,2,2
134,0,2,2,0,2,2,2,2,2,2,2,2,2,2
135,2,0,0,0,0,2,2,2,2,0,1,2,1,2
136,0,2,0,0,2,2,2,2,2,2,2,2,2,0
137,0,0,2,0,0,2,-2,-2,0,2,0,0,2,2
138,0,2,0,0,2,0,-2,-1,2,1,0,0,0,2
139,2,2,2,0,2,2,0,0,1,2,2,0,1,0
140,2,0,2,0,2,2,2,2,2,2,0,2,0,0
141,2,0,2,0,2,2,2,2,0,0,2,2,1,0
