"anid","remote","week11","week12","week2","week3","week4","week5","week7","week8","week9"
100,"#3C491560",1,1,1,1,1,1,1,1,0
101,"#3C5191FC",1,0,1,1,1,0,0.8,1,1
102,"#3C5199F4",1,1,1,1,0.5,1,1,1,1
103,"#3C53FF90",0,0,1,0,1,0,0.8,1,0
104,"#3C5AA4C2",1,0.8,1,0.2,0.5,0,1,1,0
105,"#3C5C83E3",0,0,1,1,1,1,1,0.5,1
106,"#3C5CFE9E",1,1,1,1,1,1,1,1,1
107,"#3C5DCCAD",0.75,1,1,1,1,1,1,1,0
108,"#3C5E0E6C",1,1,1,1,1,1,1,1,1
109,"#3C5E0F6D",1,1,1,1,1,1,1,1,1
110,"#3C60BDE1",0,0,0,0,0,0,0,0,0
111,"#3C60F6AA",1,1,1,1,1,1,1,1,1
112,"#3C611845",1,1,1,1,1,0.5,1,1,1
113,"#3C612B76",1,1,1,1,0.75,1,1,1,0
114,"#3C61326F",1,0,1,1,1,1,1,1,1
115,"#3C62510F",0.5,0,1,1,0.5,1,1,1,1
116,"#3C644119",1,1,1,1,1,1,1,1,1
117,"#3C653C65",0.5,0.8,1,1,0.75,1,1,1,1
118,"#3C65550C",0.5,0,1,1,0.5,0.75,0.8,0.5,0.667
119,"#3C65EBB2",0.5,1,1,1,0.75,1,1,1,1
120,"#3C8A9E28",0.5,1,1,0.8,0.75,1,0.6,1,0.667
121,"#3C8AA711",1,1,0.8,1,1,1,1,1,1
122,"#3C8AB305",0.5,0,1,1,1,0,0.8,1,0
123,"#3C8E9B29",0,0,0.2,0,0,0,0.4,0,0
124,"#3CAC20B0",1,1,1,0.8,0.5,1,1,1,1
125,"#3CB0DF53",0.5,1,1,1,1,1,1,1,1
126,"#3CB24FC1",1,1,1,1,1,1,1,1,0
127,"#3CC4A75F",1,0,0.8,0.8,0.75,1,0.8,1,1
128,"#3CCC0DFD",0.75,0,0.8,1,0.5,0.5,0.8,0,0
129,"#3CCCE515",0.75,0,1,0.8,0.5,0.5,0.8,1,0
130,"#3CDA6284",0.5,0.8,1,1,0.75,1,1,0.5,1
131,"#3D145D74",0,0,1,1,1,1,1,0.5,1
132,"#3D1EB794",1,0.8,1,1,1,1,1,1,1
133,"#3D250018",1,0.8,1,1,1,1,1,1,1
134,"#65A98C4",1,0,1,1,1,1,1,1,1
135,"#8FE8A7C",1,1,1,1,0.75,1,1,1,1
136,"#951035B",1,0.8,1,1,1,1,1,1,1
137,"#99D148",0.5,0,1,0.8,0.5,0,1,1,1
138,"#B20E3C8",0.5,1,1,1,1,1,1,1,1
139,"#E97BD24",1,1,1,1,0,1,1,1,1
140,"#EA8983E",0.75,0.8,1,1,1,0.75,0.6,1,0
141,"#F9FBA2A",0.5,0.8,1,1,0.75,1,0.8,1,1
