anid,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8
130,0,2,2,0,2,2,0
131,0,2,0,0,0,2,2
132,0,0,2,0,2,0,0
133,-2,0,-2,0,0,0,2
134,2,2,2,0,0,2,2
135,0,0,0,0,2,2,2
136,0,0,-2,0,0,0,0
137,2,0,-2,-2,-2,0,0
138,2,0,0,0,2,2,2
139,2,2,0,2,0,2,2
140,0,0,0,-2,-2,2,0
141,2,-2,2,0,2,2,2
142,0,0,0,0,-2,2,2
143,2,2,2,0,2,2,2
144,0,2,-2,0,2,2,2
145,0,2,2,0,-2,2,0
146,0,-2,0,0,2,0,0
147,2,0,2,2,0,2,2
148,0,0,-2,0,-2,2,2
149,2,2,2,2,2,2,0
150,2,2,0,2,0,2,2
151,0,2,2,0,2,2,2
152,0,0,0,2,0,2,0
153,2,2,2,2,2,2,2
154,2,0,-2,0,0,2,0
155,2,2,-2,2,2,0,0
156,0,0,-2,0,-2,2,2
157,2,2,2,0,0,2,-2
158,2,0,2,-2,-2,2,2
159,2,2,2,0,-2,2,2
160,0,2,2,0,0,2,0
161,0,0,0,-2,0,2,0
162,0,0,0,0,2,0,0
163,0,0,-2,-1,-1,0,0
164,2,0,0,0,-2,0,2
165,2,2,2,2,2,2,2
166,2,2,2,2,0,2,2
167,2,0,-2,0,0,0,0
168,2,0,2,-2,2,2,2
169,2,2,2,0,2,2,2
170,2,0,0,0,0,0,2
171,0,0,2,0,0,2,0
172,1,0,0,0,0,2,2
173,0,0,0,0,-2,2,0
174,0,0,0,0,2,2,-2
175,0,-2,-2,-2,-2,0,0
176,2,2,-2,0,0,2,0
177,2,0,-2,0,0,2,2
178,2,0,2,2,-2,2,-2
179,2,2,2,0,0,0,-2
180,2,2,2,0,0,2,2
181,2,0,2,2,0,2,2
182,2,0,0,0,0,2,-2
183,-2,0,0,-2,0,1,2
184,0,0,-2,0,2,0,2
185,2,0,-2,0,2,2,0
186,2,2,0,2,2,2,-2
187,0,0,-2,0,-2,0,0
188,2,2,0,-2,0,0,2
189,2,2,2,-2,2,2,0
190,0,0,2,0,0,0,0
191,2,0,0,-2,2,2,0
